elapsed_ms,ir
55709,208653
55719,208676
55729,208724
55739,208657
55749,208667
55759,208672
55769,208678
55779,208666
55789,208657
55800,208672
55810,208671
55820,208684
55829,208664
55840,208666
55850,208670
55860,208655
55869,208654
55879,208671
55890,208648
55900,208633
55909,208647
55920,208643
55930,208650
55940,208643
55949,208646
55960,208643
55970,208643
55980,208644
55989,208625
56000,208647
56010,208601
56020,208629
56029,208614
56040,208618
56050,208634
56060,208651
56069,208644
56080,208644
56089,208650
56100,208634
56109,208645
56119,208644
56129,208643
56139,208607
56149,208646
56160,208632
56170,208648
56180,208625
56189,208641
56200,208635
56210,208625
56219,208639
56230,208662
56239,208625
56250,208649
56268,208673
56272,208607
56299,208676
56310,208649
56320,208640
56330,208655
56340,208662
56350,208643
56360,208640
56369,208603
56380,208631
56389,208648
56400,208626
56410,208616
56420,208602
56429,208610
56440,208578
56450,208566
56460,208571
56469,208575
56480,208552
56490,208580
56500,208577
56509,208604
56520,208670
56530,208583
56539,208652
56549,208594
56560,208600
56569,208645
56579,208647
56589,208640
56600,208639
56610,208643
56620,208639
56629,208664
56640,208657
56650,208682
56659,208641
56669,208681
56680,208688
56690,208701
56700,208569
56709,208693
56720,208703
56730,208702
56740,208701
56749,208692
56760,208723
56770,208720
56780,208719
56789,208705
56816,208716
56818,208580
56821,208673
56851,208689
56880,208834
56889,208632
56899,208661
56909,208682
56919,208704
56929,208655
56939,208654
56949,208681
56959,208685
56970,208660
56980,208690
56990,208722
56999,208630
57009,208617
57019,208719
57030,208634
57039,208658
57080,208707
57089,208578
57099,208647
57109,208601
57119,208673
57129,208656
57139,208631
57150,208597
57160,208544
57169,208658
57179,208637
57190,208681
57202,208702
57209,208584
57221,208606
57229,208638
57239,208653
57249,208658
57259,208665
57270,208670
57279,208660
57289,208648
57299,208671
57309,208655
57320,208764
57330,208672
57339,208647
57349,208657
57359,208658
57369,208604
57379,208645
57409,208698
57440,208666
57471,208723
57479,208603
57489,208583
57499,208591
57509,208598
57519,208619
57529,208605
57539,208594
57549,208576
57559,208585
57569,208582
57579,208555
57589,208579
57599,208574
57609,208560
57619,208576
57629,208603
57639,208506
57649,208547
57659,208540
57669,208537
57679,208518
57689,208529
57699,208512
57709,208549
57720,208650
57730,208738
57739,208542
57750,208685
57759,208586
57769,208581
57779,208579
57789,208603
57799,208552
57809,208574
57819,208576
57829,208590
57839,208570
57849,208586
57859,208604
57869,208619
57879,208589
57889,208609
57899,208609
57909,208624
57920,208646
57930,208610
57940,208619
57950,208593
57961,208613
57971,208601
58001,208539
58010,208587
58028,208439
58033,208546
58041,208566
58072,208598
58081,208554
58090,208515
58100,208546
58110,208515
58120,208568
58130,208631
58140,208574
58150,208582
58160,208571
58170,208563
58180,208553
58190,208555
58200,208554
58210,208515
58220,208485
58230,208508
58240,208473
58250,208502
58260,208469
58270,208468
58280,208471
58290,208457
58300,208475
58310,208466
58320,208459
58330,208477
58340,208488
58350,208474
58360,208502
58370,208480
58380,208472
58390,208443
58400,208474
58410,208494
58420,208483
58430,208506
58440,208509
58450,208520
58460,208551
58470,208561
58480,208577
58490,208582
58500,208602
58510,208605
58520,208628
58531,208531
58540,208576
58550,208556
58560,208544
58570,208568
58580,208567
58611,208553
58640,208535
58650,208461
58683,208156
58691,208136
58700,208033
58710,208012
58720,208016
58730,207931
58740,207898
58750,207835
58760,207792
58770,207762
58780,207761
58790,207744
58800,207774
58810,207765
58820,207710
58830,207708
58840,207622
58850,207578
58860,207559
58870,207612
58880,207482
58890,207562
58900,207498
58910,207543
58941,207609
58950,207618
58961,207563
58972,207561
58980,207673
58991,207656
59000,207737
59011,207788
59020,207793
59030,207794
59040,207833
59073,207926
59082,207837
59090,207988
59101,207925
59111,207956
59121,207956
59130,208064
59140,208096
59151,208120
59160,208150
59170,208167
59180,208203
59191,208250
59222,208311
59252,208325
59260,208319
59286,208363
59289,208314
59292,208325
59322,208350
59334,208272
59381,208659
59390,208682
59400,208789
59411,208840
59420,208811
59431,208901
59440,208844
59451,208884
59460,208838
59471,208843
59480,208825
59491,208851
59500,208784
59511,208799
59520,208702
59531,208697
59540,208667
59551,208618
59560,208474
59571,208418
59580,208183
59590,207979
59600,207761
59611,207682
59620,207528
59631,207564
59640,207439
59651,207451
59660,207365
59671,207346
59680,207260
59691,207282
59700,207255
59711,207347
59741,207389
59751,207483
59760,207512
59770,207474
59781,207562
59790,207425
59800,207458
59811,207560
59820,207594
59831,207842
59840,207897
59850,208010
59861,208181
59870,208164
59880,208229
59900,208199
59903,208380
59910,208403
59941,208448
59971,208832
59981,208984
59990,209042
60000,209223
60011,209537
60020,209532
60030,209572
60040,209570
60051,209748
60060,209689
60070,209762
60080,209779
60091,209933
60100,209822
60110,209828
60142,209915
60150,209925
60161,210007
60170,210012
60181,210099
60190,210112
60200,209987
60210,210007
60221,210003
60230,209881
60240,209752
60250,209835
60261,209914
60270,209978
60280,209931
60290,209944
60301,209976
60311,209975
60321,209976
60330,209960
60341,209979
60351,209903
60361,209914
60370,209945
60381,209971
60391,209971
60401,209969
60412,209989
60421,210016
60431,210122
60441,210205
60452,210259
60461,210273
60487,210205
60501,210376
60532,210078
60580,210254
60583,209835
60592,209924
60601,209838
60612,209884
60621,209838
60631,209902
60641,209983
60651,210026
60662,210109
60671,210160
60681,210176
60692,210181
60701,210199
60711,210244
60721,210290
60731,210345
60742,210390
60751,210472
60761,210560
60772,210641
60781,210561
60792,210506
60801,210374
60811,210274
60822,210175
60831,210076
60841,210019
60852,209885
60861,209683
60871,209266
60881,208787
60892,208167
60901,207469
60911,206569
60942,203852
60952,203137
60961,202531
60972,201887
60981,201241
60991,200413
61001,199822
61012,199278
61021,198685
61031,198025
61041,197416
61052,196997
61061,196755
61071,196825
61081,197310
61092,198017
61101,198720
61132,201120
61142,201477
61173,201791
61199,202087
61212,202113
61221,202506
61231,203021
61241,203750
61252,204387
61261,205106
61271,205495
61281,205864
61291,205942
61302,206251
61311,206485
61342,206276
61351,205744
61361,205122
61371,204570
61382,204124
61391,204080
61401,204180
61412,204416
61421,204650
61431,204863
61441,205083
61451,205234
61462,205562
61471,205866
61481,206224
61491,206468
61502,206737
61511,206922
61521,207009
61531,207066
61542,207113
61551,207125
61561,207149
61571,207080
61582,206973
61591,206816
61601,206669
61611,206506
61622,206483
61631,206545
61641,206692
61651,206905
61662,207219
61671,207469
61681,207663
61691,207825
61702,208029
61711,208107
61759,208431
61771,208559
61784,208578
61791,208716
61823,208521
61832,208445
61865,208616
61873,208553
61881,208718
61892,208917
61901,208938
61912,209031
61921,208965
61932,209026
61941,208948
61951,208906
61961,208844
61971,208727
61982,208685
61991,208538
62001,208438
62011,208336
62022,208328
62031,208197
62041,208248
62051,208336
62062,208446
62071,208426
62081,208386
62091,208398
62102,208457
62111,208359
62142,208420
62153,208507
62161,208577
62171,208637
62182,208804
62191,208778
62201,208742
62211,208757
62222,208823
62231,208667
62241,208563
62251,208488
62261,208410
62271,208345
62281,208175
62291,208196
62302,208268
62311,208046
62321,207990
62331,207969
62341,207898
62351,207779
62361,207760
62371,207752
62404,207694
62411,207483
62422,207357
62452,206775
62463,206565
62489,206467
62502,206874
62512,207221
62544,207826
62552,207971
62561,208221
62571,208537
62581,208775
62591,208976
62601,209080
62611,209115
62621,209097
62631,209048
62641,208975
62651,208838
62661,208780
62671,208732
62681,208621
62691,208557
62701,208490
62712,208449
62721,208350
62731,208291
62742,208286
62751,208229
62761,208198
62772,208160
62782,208212
62791,208302
62801,208355
62812,208474
62821,208559
62832,208607
62842,208587
62851,208597
62862,208603
62871,208656
62881,208655
62892,208713
62901,208751
62912,208768
62943,208966
62951,208988
62962,209032
62971,208989
62981,209007
62991,209041
63001,209062
63012,209108
63022,209147
63032,209174
63042,209247
63051,209338
63062,209388
63072,209432
63102,209508
63105,208160
63112,209693
63121,209781
63132,209800
63142,209844
63153,209842
63162,209798
63173,209775
63183,209831
63193,209944
63202,209983
63213,209998
63223,209971
63232,209940
63242,209908
63252,209945
63263,209896
63272,209943
63303,209741
63314,209888
63323,209911
63370,210019
63384,209921
63414,209508
63423,209926
63453,209989
63463,209910
63492,209184
63502,208903
63512,208647
63522,208460
63533,208395
63542,208495
63552,208691
63562,208921
63572,209203
63582,209365
63592,209433
63602,209787
63613,210115
63622,210317
63632,210185
63642,210062
63652,209844
63662,209765
63673,209340
63682,208738
63692,208106
63702,207125
63712,206233
63722,205587
63732,204355
63743,203092
63752,202585
63762,202125
63772,201608
63782,201283
63793,200950
63802,200850
63812,201244
63843,204508
63853,206316
63863,207574
63872,208513
63882,209286
63892,210234
63903,211067
63912,212018
63922,213682
63932,215636
63942,217345
63953,217995
63962,217794
63972,217711
63983,217645
63992,217530
64025,217666
64034,217833
64063,216891
64093,213162
64123,206559
64132,204840
64142,204768
64152,204897
64162,204827
64172,204242
64182,203131
64193,202202
64202,201003
64212,199898
64223,199279
64254,197479
64264,196779
64273,196282
64282,196123
64292,195827
64303,195705
64312,195399
64322,195372
64332,195294
64342,195343
64353,195699
64362,195994
64372,196176
64383,196316
64392,195744
64402,195423
64412,195331
64422,195677
64433,196445
64442,197066
64452,197665
64463,198298
64472,198200
64482,198021
64492,197293
64502,196304
64513,194911
64522,193024
64532,190412
64542,188290
64552,186760
64562,185740
64572,185022
64582,184595
64593,184515
64602,184200
64612,183859
64660,181785
64692,182360
64704,183469
64735,182372
64742,182720
64753,183671
64762,184620
64772,185823
64783,186935
64792,187509
64803,187781
64812,187505
64823,187029
64832,186102
64842,185434
64852,184643
64863,183659
64872,182620
64882,182119
64893,181844
64902,181295
64912,180662
64922,180174
64932,179764
64942,179474
64953,179830
64962,179954
64972,180052
64983,179914
64992,179604
65003,179368
65012,179368
65042,179754
65053,179775
65063,179502
65073,178798
65082,178021
65092,177253
65103,176578
65112,175973
65122,175782
65132,176132
65143,176924
65152,178224
65163,179832
65174,180780
65183,180858
65194,180151
65203,179304
65213,178434
65224,177631
65233,176835
65265,179474
65294,173073
65305,172840
65334,172956
65343,173066
65353,173395
65363,173896
65373,174550
65384,175029
65393,175566
65403,176460
65414,177711
65423,179162
65434,180366
65444,181393
65473,183750
65484,184011
65493,184035
65503,184252
65513,184744
65523,185427
65533,186375
65543,187576
65553,188622
65563,189512
65573,190391
65583,191205
65593,192032
65603,192714
65613,193391
65623,194147
65633,194826
65643,195374
65653,195533
65663,195578
65673,195756
65683,196163
65693,196593
65703,197134
65714,197486
65724,198285
65733,199083
65743,199913
65753,200896
65763,201760
65774,202374
65783,202667
65794,202838
65803,202813
65813,202764
65844,202523
65876,203225
65885,204575
65915,207067
65925,207130
65954,206707
65965,206600
65973,206833
65983,206797
65993,206991
66004,207023
66013,207244
66023,207236
66033,207193
66044,206984
66053,206868
66063,206724
66073,206575
66084,206647
66093,206679
66103,206653
66113,206806
66123,207107
66134,207517
66143,207862
66153,208021
66164,208130
66173,207807
66183,207031
66193,206242
66203,205392
66213,204774
66244,204492
66254,204507
66263,204652
66273,204804
66283,205096
66293,205278
66304,205522
66313,205503
66323,205357
66334,205165
66343,205162
66353,205139
66364,205274
66373,205321
66383,205394
66393,205718
66403,206097
66413,206374
66424,206712
66433,207160
66443,207710
66453,207995
66464,208481
66494,209572
66521,209980
66533,210415
66545,210374
66572,210368
66583,210948
66594,211284
66623,211822
66654,211795
66664,211938
66674,212006
66683,211785
66694,211776
66703,211632
66713,211581
66723,211662
66734,211984
66743,212179
66753,212277
66763,212380
66773,212424
66784,212542
66793,212398
66803,212107
66813,211996
66824,212023
66833,211895
66843,211961
66853,211919
66864,211982
66873,211690
66883,211420
66894,211165
66904,210845
66913,210436
66923,210270
66933,210050
66943,209844
66953,209642
66964,209287
66973,208455
66984,207745
66993,206828
67004,206162
67013,205157
67044,203487
67054,203783
67064,204190
67074,204483
67083,204681
67093,204911
67103,205121
67114,205495
67123,205689
67133,205964
67144,206360
67154,206794
67164,207246
67174,207676
67184,208004
67194,208054
67204,208241
67234,208761
67244,209058
67254,209286
67264,209610
67274,209839
67283,209965
67294,210268
67304,210539
67314,210675
67324,210701
67335,210803
67343,210832
67353,210856
67364,210956
67373,210901
67383,210834
67393,210784
67404,210733
67436,210858
67446,211002
67475,210961
67487,211013
67516,211056
67545,210912
67575,210732
67585,210610
67594,210553
67604,210470
67614,210399
67625,210312
67634,210301
67645,210285
67654,210240
67664,210231
67675,210160
67684,210134
67694,210157
67705,210160
67714,210205
67724,210257
67735,210281
67744,210373
67754,210434
67764,210521
67775,210573
67784,210664
67794,210746
67804,210834
67814,210948
67847,211284
67854,211480
67864,211644
67874,211900
67884,212038
67894,212240
67905,212380
67914,212559
67925,212615
67934,212679
67945,212740
67954,212866
67965,213051
67974,213098
67984,213220
67995,213249
68004,213261
68014,213265
68025,213199
68034,213063
68045,212954
68054,212914
68064,212847
68075,212698
68084,212538
68115,212442
68125,212420
68164,212254
68205,212012
68215,211800
68259,211596
68265,211426
68275,211588
68284,211685
68294,211728
68305,211604
68314,211641
68325,211469
68334,211459
68345,211380
68354,211567
68365,211696
68374,211949
68384,211994
68395,212154
68404,212254
68415,212268
68424,212261
68434,212210
68445,212197
68454,212223
68465,212171
68474,212163
68485,212159
68494,212172
68505,212217
68514,212265
68524,212359
68535,212413
68544,212467
68554,212451
68565,212446
68574,212415
68585,212330
68594,212242
68604,212065
68615,211994
68646,211247
68655,210944
68664,210724
68675,210581
68684,210548
68695,210636
68704,210727
68735,211322
68744,211752
68777,212014
68784,212099
68815,211928
68825,211877
68834,211818
68845,211859
68854,211800
68864,211784
68875,211974
68884,211948
68895,212059
68904,212017
68915,212083
68924,212010
68934,212025
68945,212137
68954,211993
68964,212053
68975,212111
68984,212084
68994,212097
69005,212197
69014,212156
69055,212273
69065,212288
69074,212315
69084,212308
69095,212392
69104,212346
69115,212408
69124,212331
69135,212379
69144,212299
69155,212366
69164,212258
69175,212343
69184,212219
69195,212354
69204,212202
69214,212194
69225,212313
69234,212140
69245,212304
69254,212127
69265,212308
69274,212183
69285,212281
69294,212171
69305,212279
69314,212146
69357,212053
69364,212133
69394,212194
69405,212158
69436,212098
69475,212057
69484,212075
69494,212063
69504,211964
69514,211978
69524,212037
69534,211995
69544,211977
69554,212070
69564,212060
69574,212021
69584,211981
69594,212080
69604,212038
69614,212073
69624,212060
69634,212108
69644,212073
69654,212112
69664,212080
69674,212126
69684,212120
69694,212138
69704,212135
69714,212148
69725,212122
69735,212112
69746,212138
69755,212114
69766,212128
69775,212111
69785,212114
69796,212084
69805,212081
69816,212063
69847,212081
69855,211977
69864,212044
69875,212036
69885,212053
69896,212032
69905,211991
69915,212027
69926,212012
69935,211984
69946,211982
69955,211984
69966,211985
69975,211961
70016,212002
70026,211853
70057,211918
70067,211882
70075,211887
70105,211906
70116,211884
70124,211880
70136,211848
70145,211814
70156,211828
70165,211837
70176,211821
70185,211765
70196,211765
70205,211756
70216,211758
70246,211756
70249,212027
70256,211709
70265,211744
70275,211684
70285,211661
70296,211655
70305,211687
70315,211658
70326,211641
70335,211625
70346,211607
70356,211616
70365,211577
70376,211598
70385,211545
70396,211571
70405,211511
70416,211546
70425,211488
70435,211511
70445,211487
70455,211475
70465,211481
70475,211425
70485,211405
70495,211425
70505,211424
70515,211435
70525,211420
70535,211439
70545,211461
70555,211401
70565,211425
70575,211406
70585,211460
70595,211430
70605,211433
70615,211451
70649,211332
70679,211380
70685,211318
70696,211342
70706,211339
70735,211321
70745,211186
70755,211295
70786,211297
70817,211217
70827,211279
70856,211263
70865,211266
70875,211261
70885,211276
70895,211256
70905,211254
70915,211228
70926,211224
70935,211202
70945,211226
70955,211215
70965,211183
70975,211178
70985,211171
70995,211139
71006,211137
71015,211125
71047,211074
71055,211109
71066,211158
71076,211150
71085,211090
71095,211066
71105,211055
71115,211049
71126,211064
71136,211096
71146,211038
71155,210975
71166,211050
71175,210970
71186,210975
71196,211044
71206,211034
71215,210939
71226,211012
71256,210954
71266,211002
71275,210907
71285,210901
71296,211006
71306,210840
71316,210913
71325,210877
71335,210867
71345,210882
71355,210847
71366,210964
71376,210963
71386,210961
71395,210841
71406,210967
71415,210886
71425,210884
71435,210859
71464,210852
71477,210924
71487,210901
71515,210958
71520,210975
71526,210910
71556,210806
71565,210785
71576,210885
71605,210774
71615,210813
71626,210886
71635,210905
71645,210847
71655,210854
71665,210833
71675,210865
71685,210851
71695,210805
71705,210837
71715,210819
71725,210815
71735,210833
71745,210803
71755,210809
71765,210744
71775,210738
71785,210734
71796,210845
71805,210735
71815,210763
71825,210780
71856,210775
71867,210935
71875,210813
71885,210873
71895,210883
71905,210889
71915,210896
71925,210885
71935,210891
71945,210886
71956,210872
71966,210886
71976,210871
71986,210816
71996,210737
72006,210704
72016,210634
72026,210584
72036,210520
72046,210512
72075,210482
72087,210471
72098,210455
72107,210417
72136,210454
72167,210495
72177,210468
72186,210514
72196,210501
72206,210479
72216,210477
72226,210470
72257,210522
72267,210503
72276,210422
72286,210462
72296,210475
72306,210527
72316,210517
72326,210553
72336,210562
72346,210581
72356,210601
72366,210638
72376,210645
72386,210632
72396,210644
72406,210637
72416,210674
72426,210657
72436,210659
72446,210673
72456,210697
72466,210707
72476,210751
72486,210767
72497,210773
72506,210795
72516,210833
72526,210842
72537,210851
72546,210844
72556,210824
72566,210831
72576,210799
72586,210818
72596,210800
72606,210779
72616,210796
72649,210861
72657,210810
72667,210882
72676,210890
72707,210869
72718,210813
72748,210779
72777,210739
72787,210839
72817,210735
72827,210801
72836,210691
72846,210678
72856,210783
72866,210745
72876,210732
72886,210579
72896,210648
72906,210624
72916,210616
72927,210578
72936,210531
72946,210616
72956,210589
72966,210520
72976,210617
72986,210582
72996,210584
73006,210551
73016,210555
73048,210555
73057,210521
73067,210428
73076,210552
73086,210500
73096,210500
73106,210538
73116,210492
73126,210522
73136,210525
73146,210520
73156,210507
73166,210522
73176,210514
73186,210516
73196,210518
73206,210544
73216,210463
73226,210450
73236,210450
73246,210442
73256,210364
73266,210340
73276,210390
73286,210419
73296,210358
73306,210360
73316,210370
73327,210441
73357,210442
73388,210341
73397,210339
73426,210300
73438,210349
73465,210322
73467,210525
73477,210385
73488,210443
73496,210372
73506,210377
73516,210330
73526,210387
73536,210301
73546,210374
73556,210318
73566,210378
73576,210357
73586,210423
73596,210388
73606,210437
73616,210412
73626,210432
73636,210453
73646,210526
73656,210480
73666,210504
73676,210481
73686,210512
73696,210433
73706,210443
73716,210428
73726,210430
73736,210421
73746,210416
73756,210408
73766,210445
73776,210325
73786,210314
73796,210316
73806,210396
73816,210337
73847,210387
73856,210357
73867,210473
73876,210376
73886,210385
73897,210515
73907,210504
73916,210411
73926,210443
73936,210452
73946,210462
73956,210465
73967,210569
73977,210573
74011,210616
74036,210472
74039,210443
74048,210443
74058,210584
74066,210459
74097,210510
74107,210496
74136,210444
74147,210503
74156,210495
74166,210502
74176,210483
74186,210458
74196,210445
74206,210443
74216,210452
74226,210487
74237,210485
74270,210395
74278,210389
74288,210457
74297,210437
74307,210437
74317,210420
74327,210430
74337,210443
74347,210472
74357,210528
74367,210526
74377,210529
74387,210538
74398,210541
74407,210579
74417,210526
74427,210530
74437,210529
74447,210483
74457,210485
74467,210456
74477,210489
74487,210475
74497,210461
74507,210459
74518,210462
74527,210447
74537,210420
74547,210394
74557,210396
74567,210401
74577,210393
74587,210392
74597,210405
74607,210413
74639,210301
74648,210371
74678,210411
74688,210411
74718,210432
74728,210461
74739,210440
74770,210419
74807,210475
74818,210466
74827,210481
74837,210471
74847,210499
74857,210492
74867,210503
74877,210463
74887,210495
74897,210467
74907,210448
74918,210440
74927,210416
74937,210414
74947,210432
74957,210398
74967,210420
74977,210424
74987,210415
74998,210384
75008,210390
75041,210466
75048,210390
75058,210389
75067,210360
75078,210337
75089,210347
75097,210415
75107,210484
75118,210324
75127,210425
75138,210358
75148,210386
75158,210377
75167,210433
75177,210336
75188,210363
75197,210434
75207,210437
75218,210369
75248,210351
75257,210427
75267,210386
75277,210407
75287,210437
75297,210426
75308,210420
75318,210347
75327,210457
75337,210485
75348,210486
75357,210460
75368,210367
75377,210434
75388,210414
75397,210410
75407,210388
75418,210424
75427,210404
75470,210444
75478,210403
75508,210271
75547,210389
75557,210386
75567,210347
75600,210345
75608,210386
75617,210384
75628,210397
75637,210322
75647,210320
75657,210333
75667,210317
75678,210408
75688,210404
75697,210314
75707,210315
75718,210413
75727,210334
75738,210416
75748,210418
75757,210310
75767,210333
75777,210329
75787,210301
75798,210440
75808,210416
75818,210431
75859,210305
75867,210303
75878,210302
75887,210361
75897,210303
75907,210301
75917,210354
75927,210300
75937,210304
75947,210256
75958,210431
75968,210435
75978,210447
75988,210443
75997,210276
76007,210288
76017,210267
76027,210267
76038,210429
76070,210436
76074,210416
76078,210342
76119,210381
76150,210313
76159,210232
76167,210343
76177,210323
76188,210424
76197,210312
76208,210410
76218,210434
76250,210406
76259,210235
76268,210394
76277,210370
76288,210471
76298,210485
76308,210453
76317,210318
76328,210435
76338,210448
76348,210425
76357,210321
76368,210418
76378,210430
76388,210442
76397,210328
76408,210431
76418,210433
76428,210438
76437,210307
76448,210442
76458,210447
76468,210457
76477,210389
76488,210444
76498,210448
76508,210458
76517,210393
76528,210432
76538,210441
76548,210421
76558,210449
76568,210470
76578,210482
76588,210485
76597,210449
76608,210437
76641,210318
76648,210275
76658,210064
76700,210271
76728,210372
76740,210345
76747,210330
76781,210333
76789,210325
76798,210420
76808,210442
76818,210443
76828,210435
76839,210434
76849,210442
76859,210428
76868,210432
76879,210418
76889,210419
76899,210425
76909,210414
76918,210414
76928,210463
76938,210462
76948,210478
76958,210467
76968,210468
76978,210466
76988,210447
76998,210439
77008,210463
77049,210421
77059,210499
77068,210414
77078,210435
77088,210427
77098,210432
77108,210429
77119,210405
77129,210380
77139,210392
77149,210411
77158,210440
77168,210464
77178,210468
77188,210457
77199,210454
77209,210443
77218,210422
77228,210433
77239,210382
77249,210423
77259,210422
77269,210430
77278,210422
77289,210400
77328,210516
77340,210438
77372,210298
77379,210431
77389,210415
77421,210412
77428,210411
77462,210397
77464,210380
77469,210375
77480,210356
77489,210372
77498,210335
77509,210294
77518,210308
77529,210316
