elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
31070,lying,1,0,75.00,2000.3,40.3,1.06,2122.9
31470,lying,1,0,75.00,2004.8,28.4,1.06,2122.9
31871,lying,1,0,75.00,2002.6,16.0,1.02,2041.3
32270,lying,1,0,75.00,2000.2,10.3,1.01,2022.4
32670,lying,1,0,75.00,2002.5,9.3,1.01,2022.4
33071,lying,1,0,75.00,2001.7,9.6,1.01,2019.5
33472,lying,1,0,75.00,2001.8,9.1,1.01,2019.5
33871,lying,1,0,75.00,2001.3,8.4,1.01,2019.5
34270,lying,1,0,75.00,2000.2,7.7,1.01,2019.5
34671,lying,1,0,75.00,1999.8,8.6,1.01,2019.5
35077,lying,1,0,75.00,1998.7,8.0,1.01,2017.7
35478,lying,1,0,75.00,1999.4,7.6,1.01,2017.7
35878,lying,1,0,75.00,1998.6,7.2,1.01,2014.5
36278,lying,1,0,75.00,1998.7,7.3,1.01,2014.5
36678,lying,1,0,75.00,1997.9,7.5,1.01,2014.5
37078,lying,1,0,75.00,1997.7,7.6,1.01,2014.5
37478,lying,1,0,75.00,1998.5,11.3,1.02,2032.8
37880,lying,1,0,75.00,1997.1,12.5,1.02,2032.8
38279,lying,1,0,75.00,1995.7,19.6,1.02,2040.7
38679,lying,1,0,75.00,1994.2,23.5,1.03,2048.4
39079,lying,1,0,75.00,1993.6,30.2,1.04,2075.8
39479,lying,1,0,75.00,1991.7,41.0,1.08,2150.1
39879,lying,1,0,75.00,2004.3,63.5,1.10,2211.4
40279,lying,1,0,75.00,1999.6,78.4,1.11,2211.4
40680,lying,1,0,75.00,1996.7,84.2,1.11,2211.4
41080,lying,1,0,75.00,1998.4,86.2,1.11,2211.4
41563,lying,1,0,75.00,1993.8,93.7,1.11,2211.4
41960,lying,1,0,75.00,1995.1,91.5,1.11,2211.4
42360,lying,1,0,75.00,1982.8,89.9,1.10,2176.2
42760,lying,1,0,75.00,1989.1,87.0,1.09,2176.2
43160,lying,1,0,75.00,1996.4,83.8,1.09,2176.2
43551,lying,1,0,75.00,1989.1,87.9,1.09,2176.2
43951,lying,0,0,75.00,2002.0,83.6,1.09,2176.6
44351,lying,0,0,75.00,2004.3,84.9,1.09,2176.6
44751,lying,0,0,75.00,2004.7,70.9,1.09,2176.6
45152,lying,0,0,75.00,2009.3,62.6,1.08,2176.6
45553,lying,0,0,75.00,2000.5,87.1,1.14,2274.1
45952,lying,0,0,75.00,1998.0,154.8,1.28,2559.9
46352,lying,0,0,75.00,2008.9,192.7,1.30,2610.6
46752,lying,0,0,75.00,2020.9,198.6,1.29,2610.6
47152,lying,0,0,75.00,2031.1,209.6,1.29,2610.6
47552,lying,0,0,75.00,2039.9,211.9,1.28,2610.6
47952,lying,0,0,86.38,2058.2,225.9,1.27,2610.6
48352,lying,0,0,86.38,2095.5,182.8,1.25,2610.6
48752,lying,0,0,86.38,2102.2,151.8,1.12,2352.0
49153,lying,0,0,73.61,2103.4,151.3,1.12,2352.0
49554,lying,0,0,73.61,2122.7,141.8,1.13,2398.6
49953,lying,0,0,73.61,2126.8,143.7,1.13,2398.6
50353,lying,0,0,73.61,2142.5,96.3,1.12,2398.6
50753,lying,0,0,73.61,2133.3,90.7,1.12,2398.6
51153,lying,0,0,73.61,2117.1,88.3,1.13,2398.6
51553,lying,0,0,73.61,2121.9,78.2,1.13,2398.6
51954,lying,0,0,73.61,2110.6,72.7,1.06,2238.2
52354,lying,0,0,73.61,2112.3,61.1,1.06,2238.2
52754,lying,0,0,73.61,2104.9,62.2,1.06,2238.2
53154,lying,0,0,73.61,2108.3,65.2,1.06,2238.2
53554,lying,0,0,73.61,2121.6,58.1,1.05,2238.2
53956,lying,0,0,73.61,2120.3,53.2,1.05,2227.8
54354,lying,0,0,73.61,2125.1,47.3,1.06,2258.1
54755,lying,0,0,73.61,2124.4,49.8,1.06,2258.1
55155,lying,0,0,73.61,2123.6,40.6,1.06,2258.1
55555,lying,0,0,73.61,2124.0,34.9,1.06,2258.1
55955,lying,0,0,73.61,2118.9,46.5,1.08,2290.8
56354,lying,0,0,73.61,2127.9,68.1,1.17,2485.5
56755,lying,0,0,73.61,2126.4,71.3,1.17,2485.5
57156,lying,0,0,73.61,2114.4,82.8,1.18,2485.5
57556,lying,0,0,73.61,2123.1,87.4,1.17,2485.5
57956,lying,0,0,73.61,2123.0,89.3,1.17,2485.5
58358,lying,0,0,73.61,2127.4,85.1,1.17,2485.5
58756,lying,0,0,73.61,2118.9,69.0,1.08,2296.2
59156,lying,0,0,73.61,2118.2,62.1,1.06,2248.0
59557,lying,0,0,73.61,2130.0,48.0,1.06,2248.0
59957,lying,0,0,73.61,2122.9,45.0,1.05,2239.5
60357,lying,0,0,73.61,2108.0,53.8,1.06,2239.5
60757,lying,0,0,73.61,2117.0,73.6,1.14,2410.3
61157,lying,0,0,73.61,2127.5,76.2,1.13,2410.3
61557,lying,0,0,73.61,2131.1,76.5,1.13,2410.3
61958,lying,0,0,73.61,2135.9,73.1,1.13,2410.3
62358,lying,0,0,73.61,2134.1,70.8,1.13,2410.3
62762,lying,0,0,73.61,2150.7,54.7,1.12,2410.3
