elapsed_ms,ir
49951,202428
49960,202404
49969,202472
49979,202494
49989,202507
49999,202519
50009,202548
50019,202582
50029,202592
50039,202603
50049,202619
50059,202659
50069,202647
50079,202682
50089,202702
50099,202705
50109,202726
50119,202701
50129,202666
50139,202600
50149,202515
50159,202393
50169,202269
50179,202175
50189,202072
50199,202018
50209,201952
50219,201909
50229,201841
50239,201841
50249,201821
50259,201807
50269,201839
50279,201800
50289,201818
50299,201843
50309,201874
50319,201873
50329,201897
50339,201900
50351,201912
50360,201995
50369,201982
50379,201994
50389,202014
50399,202016
50409,202016
50419,202007
50429,202013
50439,201993
50450,201994
50480,201971
50519,201967
50529,201999
50541,202007
50549,202048
50561,202052
50570,202053
50581,202082
50590,202107
50601,202103
50610,202129
50621,202144
50630,202154
50641,202179
50650,202194
50661,202212
50670,202208
50681,202212
50690,202252
50701,202273
50710,202265
50721,202280
50730,202313
50741,202333
50750,202333
50760,202299
50770,202375
50780,202396
50791,202406
50800,202450
50811,202459
50820,202478
50830,202459
50840,202439
50850,202404
50860,202302
50870,202184
50880,202086
50890,201963
50900,201850
50910,201745
50920,201672
50930,201586
50940,201530
50950,201466
50960,201456
50970,201438
50980,201401
50990,201381
51000,201409
51010,201417
51073,201413
51075,202333
51082,201481
51120,201539
51131,201557
51140,201546
51152,201527
51160,201527
51170,201508
51180,201510
51190,201474
51201,201495
51210,201478
51220,201468
51230,201456
51240,201475
51250,201499
51260,201483
51270,201508
51280,201512
51290,201538
51300,201528
51310,201558
51320,201565
51330,201599
51340,201580
51350,201605
51360,201635
51370,201651
51380,201654
51390,201672
51400,201680
51410,201697
51420,201707
51430,201774
51440,201748
51450,201779
51460,201793
51470,201813
51480,201812
51490,201826
51500,201839
51510,201867
51520,201880
51530,201891
51540,201909
51550,201910
51560,201938
51570,201926
51580,201923
51590,201868
51600,201813
51610,201698
51620,201593
51651,201286
51692,200971
51731,200993
51741,200978
51751,200991
51762,200995
51771,201032
51782,201054
51791,201088
51802,201101
51811,201154
51822,201177
51831,201209
51842,201211
51851,201250
51862,201241
51871,201264
51882,201223
51891,201213
51902,201216
51911,201200
51922,201182
51932,201165
51941,201190
51952,201201
51962,201180
51972,201186
51981,201199
51991,201213
52002,201230
52012,201247
52021,201275
52031,201285
52041,201338
52052,201346
52062,201353
52072,201383
52082,201422
52092,201415
52101,201450
52111,201470
52121,201491
52131,201509
52182,201614
52192,201599
52200,201623
52212,201673
52222,201687
52233,201691
52242,201722
52251,201739
52261,201739
52272,201761
52281,201739
52291,201701
52302,201627
52312,201537
52322,201440
52331,201310
52342,201183
52353,201062
52362,200945
52372,200914
52382,200853
52392,200783
52432,200710
52465,200753
52468,201509
52473,200819
52483,200804
52513,200841
52515,200908
52525,200943
52531,200940
52541,201007
52551,201005
52562,201067
52571,201016
52582,201074
52591,201010
52602,201059
52611,201011
52622,201025
52631,200952
52642,200992
52651,200965
52662,201014
52671,200991
52682,201020
52691,201008
52702,201071
52711,201046
52722,201097
52731,201116
52742,201150
52753,201159
52762,201203
52771,201226
52782,201247
52791,201288
52802,201297
52811,201324
52822,201338
52832,201365
52843,201421
52852,201424
52862,201450
52873,201462
52882,201485
52892,201509
52903,201522
52913,201547
52922,201533
52932,201582
52943,201584
52953,201592
52962,201616
52972,201652
52983,201636
52993,201621
53002,201586
53012,201508
53023,201426
53033,201278
53062,200903
53102,200566
53114,200529
53144,200499
53154,200391
53163,200508
53204,200527
53212,200528
53222,200552
53233,200562
53242,200614
53252,200638
53263,200669
53272,200665
53283,200690
53292,200701
53302,200712
53313,200726
53322,200713
53332,200709
53343,200687
53353,200683
53362,200696
53372,200679
53383,200708
53393,200715
53402,200736
53412,200727
53423,200763
53433,200800
53442,200817
53452,200823
53463,200878
53473,200910
53482,200919
53492,200930
53503,200978
53513,201012
53522,201045
53532,201025
53543,201089
53583,201183
53592,201169
53602,201193
53613,201247
53622,201252
53632,201269
53642,201270
53653,201347
53662,201328
53702,201409
53734,201472
53744,201443
53814,200627
53825,200616
53853,200389
53863,200372
53872,200323
53883,200328
53892,200306
53903,200349
53913,200347
53922,200367
53933,200400
53942,200391
53983,200493
53994,200559
54003,200599
54013,200653
54023,200646
54033,200658
54043,200674
54053,200659
54063,200654
54074,200663
54083,200657
54093,200665
54103,200649
54114,200668
54123,200668
54133,200692
54143,200707
54154,200730
54163,200737
54173,200786
54183,200792
54194,200825
54203,200846
54213,200877
54223,200919
54234,200930
54243,200969
54253,200990
54263,201014
54274,201028
54283,201094
54293,201123
54303,201148
54313,201175
54324,201176
54333,201196
54343,201227
54415,201365
54424,201364
54493,201507
54503,201506
54513,201419
54523,201337
54533,201220
54543,201100
54554,200928
54563,200847
54574,200723
54583,200614
54594,200532
54604,200434
54613,200332
54624,200283
54634,200276
54644,200308
54694,200267
54703,200259
54713,200309
54723,200348
54734,200377
54743,200401
54755,200450
54763,200509
54774,200548
54784,200564
54794,200568
54803,200483
54814,200492
54824,200432
54834,200372
54844,200285
54854,200259
54864,200175
54873,200086
54926,199802
54933,199727
54943,199683
54954,199723
54963,199697
54973,199702
54983,199715
54994,199783
55003,199763
55013,199829
55023,199886
55034,199934
55043,199978
55053,199997
55064,200025
55074,200081
55083,200112
55093,200155
55104,200214
55114,200278
55125,200338
55134,200397
55144,200456
55184,200738
55194,200836
55204,200893
55215,200969
55224,201009
55234,201002
55245,201000
55254,200974
55264,200935
55275,200857
55285,200774
55294,200696
55304,200639
55315,200576
55324,200559
55334,200515
55344,200517
55354,200507
55365,200449
55374,200424
55416,200256
55425,200174
55457,199969
55496,199754
55504,199666
55515,199585
55524,199523
55534,199389
55544,199339
55585,199091
55594,199018
55604,198964
55614,198874
55624,198825
55634,198778
55645,198762
55654,198734
55664,198692
55674,198669
55685,198676
55694,198668
55704,198634
55715,198641
55724,198630
55734,198604
55744,198623
55754,198594
55765,198632
55774,198645
55784,198643
55795,198673
55804,198651
55814,198683
55824,198685
55834,198692
55845,198759
55854,198768
55864,198784
55875,198835
55884,198871
55894,198904
55904,198967
55914,198997
55925,199093
55935,199150
55944,199180
55979,199421
55986,199525
55994,199621
56036,199842
56046,199774
56075,199677
56085,199695
56126,199842
56136,199925
56144,200009
56155,200121
56164,200215
56175,200335
56184,200431
56194,200525
56205,200643
56214,200734
56225,200829
56235,200911
56246,201002
56256,201114
56265,201218
56275,201310
56286,201398
56295,201482
56306,201566
56315,201597
56325,201650
56336,201685
56345,201706
56386,201927
56395,201953
56405,202007
56416,202049
56425,202097
56435,202176
56446,202226
56455,202251
56466,202336
56475,202414
56485,202476
56496,202540
56505,202604
56515,202647
56525,202701
56535,202763
56545,202815
56555,202859
56566,202928
56575,202979
56586,203052
56595,203078
56605,203135
56616,203194
56625,203268
56635,203299
56668,203373
56676,203435
56688,203493
56727,203607
56737,203616
56767,203672
56775,203668
56785,203683
56827,203664
56835,203599
56845,203503
56856,203387
56865,203188
56876,203027
56885,202859
56895,202683
56905,202578
56915,202470
56926,202457
56935,202400
56946,202371
56955,202359
56965,202352
56976,202403
56985,202362
56995,202380
57006,202401
57015,202428
57026,202466
57035,202490
