elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
32179,lying,1,0,75.00,2228.4,284.1,1.34,2982.2,1
32579,lying,1,0,75.00,2177.4,325.9,1.37,2982.2,1
32979,lying,1,0,75.00,2129.2,336.3,1.40,2982.2,1
33397,lying,1,0,75.00,2107.2,541.8,2.50,5266.8,1
33779,lying,1,0,75.00,2050.9,590.9,2.57,5266.8,1
34179,lying,1,0,75.00,2032.1,696.0,2.59,5266.8,1
34580,lying,1,0,75.00,1992.2,687.4,2.64,5266.8,1
34980,lying,1,0,75.00,1976.1,682.4,2.67,5266.8,1
35380,lying,1,0,75.00,1923.0,661.3,2.74,5266.8,1
35780,lying,1,0,75.00,1850.7,461.1,2.09,3869.8,1
36180,lying,1,0,75.00,1829.6,400.0,2.12,3869.8,1
36581,lying,1,0,75.00,1821.2,140.4,1.41,2564.4,1
36981,lying,1,0,75.00,1812.3,134.7,1.42,2564.4,1
37381,lying,1,0,75.00,1812.6,127.1,1.41,2564.4,1
37781,lying,1,0,75.00,1810.5,119.7,1.42,2564.4,1
38181,lying,1,0,75.00,1814.2,120.5,1.41,2564.4,1
38581,lying,1,0,75.00,1822.1,41.7,1.06,1939.1,1
38982,lying,1,0,75.00,1816.4,38.5,1.05,1908.3,1
39382,lying,1,0,75.00,1811.5,42.3,1.05,1908.3,1
39782,lying,1,0,75.00,1811.7,43.7,1.05,1908.3,1
40182,lying,1,0,75.00,1814.6,43.4,1.05,1908.3,1
40582,lying,1,0,75.00,1813.1,43.1,1.05,1908.3,1
40973,lying,1,0,75.00,1804.6,37.4,1.05,1903.0,1
41373,lying,1,0,75.00,1811.6,39.4,1.05,1903.0,1
41773,lying,1,0,75.00,1816.4,45.8,1.05,1913.3,1
42173,lying,1,0,75.00,1805.6,85.7,1.06,1913.3,1
42573,lying,1,0,75.00,1805.9,94.7,1.10,1985.7,1
42974,lying,1,0,75.00,1794.4,100.6,1.11,1985.7,1
43374,lying,1,0,75.00,1788.1,104.2,1.11,1985.7,1
43774,lying,1,0,75.00,1787.7,103.7,1.11,1985.7,1
44174,lying,1,0,75.00,1790.4,100.9,1.11,1985.7,1
44574,lying,1,0,75.00,1802.5,73.8,1.10,1985.7,1
44975,lying,1,0,65.69,1816.8,95.3,1.24,2247.1,1
45375,lying,1,0,65.69,1820.6,87.2,1.23,2247.1,1
45775,lying,1,0,65.69,1830.6,82.0,1.23,2247.1,1
46175,lying,1,0,65.69,1827.5,84.7,1.23,2247.1,1
46575,lying,1,0,65.69,1833.5,84.4,1.23,2247.1,1
46976,lying,0,0,65.69,1837.8,83.6,1.22,2247.1,1
47376,lying,0,0,65.69,1822.5,53.0,1.06,1931.9,1
47776,lying,0,0,65.69,1832.7,47.5,1.05,1931.9,1
48176,lying,0,0,65.69,1828.8,44.9,1.06,1931.9,1
48576,lying,0,0,65.69,1833.1,42.0,1.05,1931.9,1
48977,lying,0,0,60.18,1829.4,43.3,1.06,1931.9,1
49377,lying,0,0,60.18,1831.1,43.2,1.04,1912.9,1
49777,lying,0,0,60.18,1836.5,38.3,1.05,1926.4,1
50177,lying,0,0,60.18,1840.9,38.9,1.05,1926.4,1
50577,lying,0,0,60.18,1839.5,38.0,1.05,1926.4,1
50978,lying,0,0,60.18,1841.2,38.3,1.05,1926.4,1
51378,lying,0,0,60.18,1845.7,40.5,1.05,1928.8,1
51778,lying,0,0,60.18,1847.9,43.5,1.05,1943.1,1
52178,lying,0,0,60.18,1850.3,42.4,1.05,1943.1,1
52578,lying,0,0,60.18,1850.1,43.5,1.05,1943.1,1
52978,lying,0,0,60.18,1857.2,39.9,1.05,1943.1,1
53379,lying,0,0,60.18,1854.5,41.2,1.05,1943.1,1
53779,lying,0,0,60.18,1849.6,37.7,1.05,1943.1,1
54179,lying,0,0,60.18,1845.3,33.7,1.04,1922.8,1
54579,lying,0,0,60.18,1842.5,34.4,1.04,1922.8,1
54979,lying,0,0,60.18,1839.9,33.2,1.04,1908.7,1
55380,lying,0,0,60.18,1835.6,46.3,1.12,2055.7,1
55780,lying,0,0,60.18,1836.3,52.6,1.12,2055.7,1
56180,lying,0,0,60.18,1840.8,56.1,1.12,2055.7,1
56580,lying,0,0,60.18,1835.4,62.0,1.12,2055.7,1
56980,lying,0,0,60.18,1839.9,66.0,1.12,2055.7,1
57381,lying,0,0,60.18,1846.0,81.5,1.20,2211.4,1
57781,lying,0,0,60.18,1848.3,77.0,1.20,2211.4,1
58181,lying,0,0,60.18,1845.8,74.0,1.20,2211.4,1
58581,lying,0,0,60.18,1845.3,71.7,1.20,2211.4,1
58981,lying,0,0,60.18,1851.6,67.8,1.19,2211.4,1
59382,lying,0,0,60.18,1846.7,66.5,1.20,2211.4,1
59782,lying,0,0,60.18,1841.4,47.7,1.06,1945.3,1
60182,lying,0,0,59.16,1845.5,45.3,1.05,1945.3,1
60582,lying,0,0,59.16,1847.5,40.9,1.05,1945.3,1
60982,lying,0,0,59.16,1845.3,44.0,1.05,1945.3,1
61373,lying,0,0,59.16,1846.8,50.5,1.11,2049.7,1
61773,lying,0,0,59.16,1845.0,48.3,1.11,2049.7,1
62173,lying,0,0,59.16,1847.4,58.0,1.11,2049.7,1
62573,lying,0,0,59.16,1849.8,65.3,1.11,2056.4,1
62974,lying,0,0,59.16,1853.0,75.7,1.13,2094.4,1
63374,lying,0,0,59.16,1858.8,75.2,1.13,2094.4,1
63774,lying,0,0,59.16,1864.6,83.8,1.12,2094.4,1
64174,lying,0,0,59.16,1868.3,84.6,1.12,2094.4,1
64574,lying,0,0,59.16,1859.6,85.6,1.13,2094.4,1
64975,lying,0,0,59.16,1861.6,85.8,1.13,2094.4,1
65375,lying,0,0,59.16,1864.6,77.8,1.11,2067.1,1
65775,lying,0,0,59.16,1850.5,80.8,1.12,2067.1,1
66175,lying,0,0,59.16,1841.2,75.8,1.11,2043.6,1
66576,lying,0,0,58.55,1841.1,73.7,1.11,2043.6,1
66977,lying,0,0,58.55,1845.1,78.3,1.11,2043.6,1
67377,lying,0,0,58.55,1836.9,78.3,1.11,2043.6,1
67777,lying,0,0,58.55,1837.9,83.3,1.11,2043.6,1
68177,lying,0,0,58.55,1862.2,96.0,1.13,2108.4,1
68577,lying,0,0,58.55,1861.4,96.2,1.13,2108.4,1
68978,lying,0,0,58.55,1861.2,98.9,1.13,2108.4,1
69378,lying,0,0,68.42,1877.6,94.8,1.12,2108.4,1
69778,lying,0,0,68.42,1875.9,102.9,1.12,2108.4,1
70177,lying,0,0,68.42,1895.7,110.1,1.11,2108.4,1
70579,lying,0,0,68.42,1908.7,113.6,1.13,2160.4,1
70978,lying,0,0,68.42,1893.8,139.9,1.14,2160.4,1
71378,lying,0,0,68.42,1931.6,157.0,1.18,2277.8,1
71778,lying,0,0,68.42,1951.8,177.2,1.17,2277.8,1
72178,lying,0,0,68.42,1937.6,185.9,1.18,2277.8,1
72579,lying,0,0,68.42,1916.4,187.7,1.19,2277.8,1
72979,lying,0,0,68.42,1912.0,187.7,1.19,2277.8,1
73379,lying,0,0,68.42,1933.6,159.9,1.18,2277.8,1
73779,lying,0,0,68.42,1906.4,142.1,1.17,2224.1,1
74180,lying,0,0,68.42,1880.3,103.7,1.14,2135.4,1
74580,lying,0,0,68.42,1900.7,88.0,1.13,2144.9,1
74980,lying,0,0,68.42,1908.1,89.4,1.12,2144.9,1
75381,lying,0,0,68.42,1892.0,73.6,1.13,2144.9,1
75780,lying,0,0,68.42,1893.1,70.8,1.13,2144.9,1
76182,lying,0,0,68.42,1886.5,65.4,1.14,2144.9,1
76581,lying,0,0,68.42,1880.9,65.5,1.14,2144.9,1
76981,lying,0,0,68.42,1884.4,50.8,1.13,2131.9,1
77381,lying,0,0,68.42,1875.3,26.5,1.04,1956.3,1
77782,lying,0,0,68.42,1871.9,25.3,1.05,1956.3,1
78183,lying,0,0,68.42,1873.6,46.3,1.11,2075.3,1
78582,lying,0,0,68.42,1849.5,112.6,1.12,2075.3,1
78983,lying,0,0,68.42,1846.9,118.7,1.12,2075.3,1
79373,lying,0,0,68.42,1841.9,119.7,1.13,2075.3,1
79773,lying,0,0,68.42,1835.7,119.8,1.13,2075.3,1
80174,lying,0,0,68.42,1819.5,124.8,1.14,2075.3,1
80573,lying,0,0,68.42,1799.5,134.4,1.16,2079.2,1
80973,lying,0,0,68.42,1845.2,126.0,1.16,2139.5,1
81374,lying,0,0,68.42,1830.3,146.4,1.17,2139.5,1
81774,lying,0,0,68.42,1823.7,147.0,1.17,2139.5,1
82175,lying,0,0,68.42,1825.3,153.5,1.17,2139.5,1
82574,lying,0,0,68.42,1838.2,153.8,1.16,2139.5,1
83075,lying,0,0,68.42,1848.0,135.0,1.16,2139.5,1
83475,lying,0,0,68.42,1819.4,109.6,1.13,2054.0,1
83875,lying,0,0,68.42,1832.9,72.7,1.11,2034.3,1
84274,lying,0,0,68.42,1834.1,64.3,1.11,2034.3,1
84676,lying,0,0,68.42,1832.0,46.9,1.11,2028.6,1
85076,lying,0,0,68.42,1830.9,22.9,1.02,1874.0,1
85476,lying,0,0,68.42,1851.3,53.2,1.12,2082.6,1
85876,lying,0,0,68.42,1842.0,79.9,1.13,2082.6,1
86276,lying,0,0,68.42,1820.8,100.5,1.14,2082.6,1
86677,lying,0,0,68.42,1822.1,106.5,1.14,2082.6,1
87077,lying,0,0,78.55,1822.9,109.0,1.14,2082.6,1
87477,lying,0,0,78.55,1825.9,110.4,1.14,2082.6,1
87878,lying,0,0,78.55,1807.6,95.4,1.13,2037.4,1
88278,lying,0,0,78.55,1821.5,106.1,1.20,2188.2,1
88678,lying,0,0,78.55,1835.6,99.0,1.19,2188.2,1
89078,lying,0,0,78.55,1818.0,110.3,1.20,2188.2,1
89479,lying,0,0,77.13,1834.1,170.4,1.37,2516.8,1
89878,lying,0,0,77.13,1827.0,175.0,1.38,2516.8,1
90278,lying,0,0,77.13,1814.8,177.4,1.39,2516.8,1
90679,lying,0,0,77.13,1804.0,164.9,1.40,2516.8,1
91080,lying,0,0,77.13,1814.3,161.2,1.39,2516.8,1
91480,lying,0,0,77.13,1813.2,157.5,1.39,2516.8,1
91880,lying,0,0,77.13,1810.3,96.0,1.14,2067.7,1
92280,lying,0,0,77.13,1798.3,105.1,1.13,2024.8,1
92681,lying,0,0,77.13,1763.1,165.9,1.15,2024.8,1
93081,lying,0,0,77.13,1818.9,227.5,1.33,2416.6,1
93481,lying,0,0,77.13,1813.4,230.1,1.33,2416.6,1
93881,lying,0,0,77.13,1842.5,231.7,1.31,2416.6,1
94282,lying,0,0,77.13,1849.6,246.6,1.32,2438.2,1
94682,lying,0,0,77.13,1913.2,293.8,1.51,2890.3,1
95082,lying,0,0,77.13,1995.7,304.6,1.45,2890.3,1
95482,lying,0,0,77.13,1970.6,297.4,1.47,2890.3,1
95873,lying,0,0,77.13,2002.8,289.1,1.44,2890.3,1
96273,lying,0,0,77.13,2016.1,282.0,1.43,2890.3,1
96673,lying,0,0,77.13,2013.6,271.0,1.44,2890.3,1
