elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
8011,lying,1,0,75.00,2126.4,77.4,1.06,2262.0
8410,lying,1,0,75.00,2119.9,79.8,1.07,2262.0
8810,lying,1,0,75.00,2116.7,78.4,1.07,2262.0
9210,lying,1,0,75.00,2106.4,73.8,1.07,2262.0
9610,lying,1,0,75.00,2108.7,78.7,1.08,2283.5
10010,lying,1,0,75.00,2092.5,70.7,1.09,2283.5
10410,lying,1,0,75.00,2094.1,67.2,1.09,2283.5
10812,lying,1,0,75.00,2102.7,69.2,1.09,2283.5
11210,lying,1,0,75.00,2109.7,59.1,1.08,2283.5
11610,lying,1,0,75.00,2108.4,58.5,1.08,2283.5
12010,lying,1,0,75.00,2116.0,51.1,1.08,2278.8
12409,lying,1,0,75.00,2107.2,71.0,1.09,2299.6
12810,lying,1,0,75.00,2084.6,88.4,1.10,2299.6
13210,lying,1,0,75.00,2105.6,109.3,1.13,2385.7
13610,lying,1,0,75.00,2109.8,109.4,1.13,2385.7
14010,lying,1,0,75.00,2115.1,109.3,1.13,2385.7
14410,lying,1,0,75.00,2117.7,109.1,1.13,2385.7
14811,lying,1,0,75.00,2128.1,94.6,1.12,2385.7
15210,lying,1,0,75.00,2142.6,67.7,1.11,2385.7
15610,lying,1,0,75.00,2121.4,40.8,1.04,2201.5
16010,lying,1,0,75.00,2119.7,40.3,1.04,2201.5
16410,lying,1,0,75.00,2118.2,36.3,1.04,2201.5
16811,lying,1,0,75.00,2110.2,32.9,1.04,2188.2
17210,lying,1,0,75.00,2106.8,34.0,1.04,2188.2
17610,lying,1,0,75.00,2114.5,39.5,1.03,2188.2
18010,lying,1,0,75.00,2111.6,35.7,1.04,2188.2
18410,lying,1,0,75.00,2109.9,35.7,1.04,2188.2
18810,lying,1,0,75.00,2111.6,40.0,1.04,2190.5
19212,lying,1,0,75.00,2115.2,38.3,1.04,2190.5
19610,lying,1,0,75.00,2127.6,38.1,1.03,2191.4
20010,lying,1,0,75.00,2123.6,32.1,1.03,2191.4
20410,lying,1,0,66.43,2130.8,35.5,1.06,2253.5
20810,lying,1,0,66.43,2135.4,36.3,1.06,2253.5
21210,lying,1,0,66.43,2138.0,34.4,1.05,2253.5
21610,lying,1,0,66.43,2135.7,35.6,1.06,2253.5
22010,lying,0,0,66.43,2132.4,34.2,1.06,2253.5
22411,lying,0,0,66.43,2138.3,34.2,1.05,2253.5
22811,lying,0,0,63.83,2134.1,30.7,1.03,2202.0
23211,lying,0,0,63.83,2133.6,28.2,1.03,2202.0
