elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
7961,lying,1,0,75.00,1841.5,8.3,1.01,1858.1,1
8361,lying,1,0,75.00,1841.1,8.4,1.01,1860.4,1
8761,lying,1,0,75.00,1840.3,7.9,1.01,1860.4,1
9162,lying,1,0,75.00,1841.3,7.8,1.01,1860.4,1
9562,lying,1,0,75.00,1842.1,8.8,1.01,1861.0,1
9962,lying,1,0,75.00,1842.5,9.4,1.01,1861.0,1
10363,lying,1,0,75.00,1842.7,9.5,1.01,1861.0,1
10763,lying,1,0,75.00,1843.3,8.9,1.01,1861.0,1
11164,lying,1,0,75.00,1844.5,9.2,1.01,1861.0,1
11564,lying,1,0,75.00,1843.6,9.0,1.01,1861.0,1
11965,lying,1,0,75.00,1842.9,8.6,1.01,1859.7,1
12365,lying,1,0,75.00,1842.4,8.3,1.01,1859.7,1
12765,lying,1,0,75.00,1843.0,9.0,1.01,1859.7,1
13166,lying,1,0,75.00,1842.8,10.7,1.02,1874.6,1
13566,lying,1,0,75.00,1841.5,10.9,1.02,1874.6,1
13957,lying,1,0,75.00,1841.7,11.0,1.02,1874.6,1
14357,lying,1,0,75.00,1840.3,11.5,1.02,1874.6,1
14757,lying,1,0,75.00,1839.9,14.3,1.02,1874.6,1
15158,lying,1,0,70.21,1840.4,14.0,1.02,1874.6,1
15558,lying,1,0,70.21,1840.5,13.6,1.02,1871.8,1
15959,lying,1,0,70.21,1842.7,14.9,1.02,1888.1,1
16359,lying,1,0,79.68,1844.0,15.5,1.02,1888.1,1
16759,lying,1,0,79.68,1844.4,15.1,1.02,1888.1,1
17160,lying,1,0,79.68,1845.1,12.6,1.02,1888.1,1
17560,lying,1,0,79.68,1844.8,12.3,1.02,1888.1,1
17961,lying,1,0,79.68,1844.2,14.0,1.02,1888.1,1
18361,lying,1,0,79.68,1843.9,12.9,1.02,1877.2,1
18761,lying,1,0,79.68,1843.7,17.4,1.05,1933.1,1
19162,lying,1,0,79.68,1844.2,17.6,1.05,1933.1,1
19562,lying,1,0,79.68,1844.0,17.6,1.05,1933.1,1
19963,lying,1,0,90.59,1844.9,18.3,1.05,1933.1,1
20363,lying,1,0,90.59,1845.8,17.3,1.05,1933.1,1
20764,lying,0,0,90.59,1843.6,18.2,1.05,1933.1,1
21164,lying,0,0,97.14,1842.7,13.3,1.02,1878.4,1
21564,lying,0,0,108.28,1841.7,13.4,1.02,1878.4,1
21965,lying,0,0,108.28,1841.4,13.7,1.02,1878.4,1
22365,lying,0,0,108.28,1839.7,14.5,1.02,1868.9,1
22766,lying,0,0,102.47,1839.1,13.6,1.02,1868.9,1
23166,lying,0,0,102.47,1841.1,13.1,1.02,1869.2,1
23566,lying,0,0,102.47,1841.1,12.9,1.02,1869.2,1
23957,lying,0,0,102.47,1842.9,13.2,1.01,1869.2,1
24357,lying,0,0,104.96,1843.3,12.9,1.01,1869.2,1
24758,lying,0,0,113.08,1844.6,10.6,1.01,1869.2,1
25158,lying,0,0,115.66,1844.0,10.4,1.01,1869.2,1
25558,lying,0,0,121.68,1843.0,9.9,1.01,1868.1,1
25959,lying,0,0,121.68,1842.9,9.8,1.01,1868.1,1
26359,lying,0,0,121.68,1842.2,9.5,1.01,1868.1,1
26760,lying,0,0,133.01,1843.2,9.4,1.01,1868.1,1
27160,lying,0,0,122.59,1841.9,10.0,1.01,1863.8,1
27560,lying,0,0,123.55,1842.5,10.1,1.01,1863.8,1
27961,lying,0,0,123.55,1841.8,10.3,1.01,1863.8,1
28361,lying,0,0,133.98,1842.2,10.3,1.01,1863.8,1
28762,lying,0,0,133.98,1841.2,9.9,1.01,1863.8,1
29162,lying,0,0,133.98,1841.0,10.1,1.01,1867.5,1
29562,lying,0,0,133.98,1841.2,9.7,1.01,1867.5,1
29963,lying,0,0,133.98,1841.0,11.8,1.02,1870.6,1
30363,lying,0,0,133.98,1841.5,12.9,1.02,1870.6,1
30764,lying,0,0,130.28,1841.9,12.9,1.02,1870.6,1
31164,lying,0,0,132.59,1842.8,13.8,1.02,1870.6,1
31564,lying,0,0,132.59,1842.3,14.1,1.02,1870.6,1
31965,lying,0,0,132.59,1842.7,14.4,1.02,1870.6,1
32365,lying,0,0,122.41,1843.6,12.4,1.01,1870.3,1
