elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
81855,lying,1,0,75.00,2000.7,7.3,1.01,2017.4
82255,lying,1,0,75.00,2001.2,6.8,1.01,2017.4
82655,lying,1,0,75.00,2000.5,6.5,1.01,2016.4
83055,lying,1,0,75.00,2000.7,6.2,1.01,2016.4
83455,lying,1,0,75.00,2000.7,6.3,1.01,2016.1
83855,lying,1,0,75.00,2000.3,6.4,1.01,2016.1
84255,lying,1,0,75.00,2001.4,6.5,1.01,2016.1
85253,lying,1,0,75.00,2001.2,6.7,1.01,2014.0
85495,lying,1,0,75.00,2002.0,6.7,1.01,2016.0
85895,lying,1,0,75.00,2003.0,12.7,1.04,2075.1
86295,lying,1,0,75.00,2003.5,13.4,1.04,2075.1
86695,lying,1,0,75.00,2003.5,13.4,1.04,2075.1
87095,lying,1,0,75.00,2002.8,14.0,1.04,2075.1
87495,lying,1,0,75.00,2002.4,14.3,1.04,2075.1
87895,lying,1,0,75.00,2001.2,14.2,1.04,2075.1
88780,lying,1,0,75.00,2000.0,9.2,1.02,2031.5
89016,lying,1,0,75.00,1999.2,8.5,1.01,2019.8
89416,lying,1,0,75.00,2000.4,9.2,1.01,2019.8
89815,lying,1,0,75.00,2001.1,8.6,1.01,2019.6
90215,lying,1,0,75.00,2001.5,10.6,1.01,2027.1
90615,lying,1,0,75.00,2002.3,10.8,1.01,2027.1
91015,lying,1,0,75.00,2002.6,10.9,1.01,2027.1
91415,lying,1,0,75.00,2002.7,10.2,1.01,2027.1
91871,lying,1,0,75.00,2001.4,11.6,1.02,2041.7
92535,lying,1,0,75.00,2000.4,11.6,1.02,2041.7
92935,lying,1,0,75.00,2000.4,9.5,1.02,2041.7
93335,lying,1,0,75.00,2000.4,9.2,1.02,2041.7
93735,lying,1,0,75.00,2000.8,8.9,1.02,2041.7
94136,lying,1,0,75.00,2000.7,8.9,1.02,2041.7
94534,lying,1,0,75.00,2000.7,6.6,1.01,2013.8
94934,lying,1,0,75.00,2000.6,6.4,1.01,2013.8
95334,lying,0,0,75.00,2000.6,6.1,1.01,2013.8
96054,lying,0,0,75.00,2000.3,6.7,1.01,2018.4
96454,lying,0,0,75.00,1999.5,7.0,1.01,2018.4
96854,lying,0,0,75.00,2000.1,7.3,1.01,2018.4
97254,lying,0,0,75.00,2000.1,7.1,1.01,2018.4
97654,lying,0,0,75.00,2001.8,10.7,1.03,2060.7
98055,lying,0,0,75.00,2001.3,11.2,1.03,2060.7
98454,lying,0,0,75.00,2001.5,11.0,1.03,2060.7
98854,lying,0,0,75.00,2002.4,10.8,1.03,2060.7
99574,lying,0,0,75.00,2003.0,10.7,1.03,2060.7
99975,lying,0,0,75.00,2003.5,10.6,1.03,2060.7
