elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
19478,lying,1,0,75.00,1997.5,5.7,1.01,2011.2
19879,lying,1,0,75.00,1997.7,5.7,1.01,2011.2
20279,lying,1,0,75.00,1997.9,7.0,1.01,2012.6
21279,lying,1,0,75.00,1997.1,7.4,1.01,2012.6
21679,lying,1,0,75.00,1997.4,6.8,1.01,2012.6
22078,lying,1,0,75.00,1997.7,6.9,1.01,2012.6
23080,lying,1,0,75.00,1997.3,7.1,1.01,2012.6
23478,lying,1,0,75.00,1997.6,9.7,1.02,2043.1
23878,lying,1,0,75.00,1997.6,8.9,1.02,2043.1
24883,lying,1,0,75.00,1997.7,9.1,1.02,2043.1
25238,lying,1,0,75.00,1998.3,9.5,1.02,2043.1
25639,lying,1,0,75.00,1998.2,9.8,1.02,2043.1
26040,lying,1,0,75.00,1998.7,9.7,1.02,2043.1
26439,lying,1,0,75.00,1998.5,7.6,1.01,2013.0
26838,lying,1,0,75.00,1997.7,7.9,1.01,2013.0
27238,lying,1,0,75.00,1997.4,8.2,1.01,2013.0
27639,lying,1,0,75.00,1997.0,8.2,1.01,2013.0
28038,lying,1,0,75.00,1996.6,7.9,1.01,2011.4
28439,lying,1,0,75.00,1995.1,8.6,1.01,2011.4
28838,lying,1,0,75.00,1995.8,9.2,1.01,2019.4
29239,lying,1,0,75.00,1996.3,9.8,1.01,2019.4
29639,lying,1,0,75.00,1997.1,9.4,1.01,2019.4
30038,lying,1,0,75.00,1997.3,9.0,1.01,2019.4
30439,lying,1,0,75.00,1996.6,9.2,1.01,2019.4
30838,lying,1,0,75.00,1997.3,8.6,1.01,2019.4
31238,lying,1,0,75.00,1996.4,7.7,1.01,2013.0
31640,lying,0,0,75.00,1996.5,7.2,1.01,2010.4
32039,lying,0,0,75.00,1996.8,7.6,1.01,2016.7
32440,lying,0,0,75.00,1996.6,7.6,1.01,2016.7
32839,lying,0,0,75.00,1997.4,7.4,1.01,2016.7
33239,lying,0,0,75.00,1997.5,7.2,1.01,2016.7
33640,lying,0,0,75.00,1998.1,7.8,1.01,2016.7
34039,lying,0,0,75.00,1998.1,8.0,1.01,2016.7
34440,lying,0,0,75.00,1997.9,8.0,1.01,2015.9
34839,lying,0,0,75.00,1997.6,8.1,1.01,2015.9
