elapsed_ms,ax,ay,az
52241,-670,-508,1650
52281,-672,-507,1612
52321,-656,-507,1609
52361,-672,-512,1617
52401,-661,-512,1611
52441,-675,-499,1616
52481,-677,-495,1619
52521,-665,-503,1607
52561,-664,-500,1618
52601,-670,-508,1620
52641,-667,-506,1597
52681,-675,-509,1619
52721,-665,-503,1609
52824,-677,-495,1626
52832,-664,-513,1618
52852,-681,-490,1609
52882,-673,-501,1631
52931,-669,-493,1616
52972,-673,-509,1631
53002,-670,-505,1634
53051,-677,-517,1640
53082,-670,-508,1609
53122,-686,-507,1626
53171,-671,-506,1612
53212,-667,-499,1630
53242,-674,-505,1613
53291,-667,-508,1609
53362,-669,-507,1631
53403,-667,-491,1611
53445,-666,-502,1628
53452,-661,-508,1630
53482,-677,-495,1600
53522,-665,-494,1624
53571,-664,-503,1604
53601,-684,-502,1631
53642,-687,-509,1633
53681,-663,-493,1623
53731,-661,-515,1628
53761,-654,-501,1637
53801,-668,-505,1634
53841,-676,-507,1628
53882,-663,-508,1625
53921,-673,-506,1609
53963,-678,-510,1614
54038,-674,-510,1607
54042,-669,-507,1605
54089,-676,-505,1634
54135,-666,-495,1620
54162,-668,-487,1620
54202,-663,-503,1617
54242,-670,-497,1631
54282,-655,-504,1619
54322,-679,-504,1600
54362,-671,-498,1622
54402,-675,-509,1626
54442,-668,-503,1602
54482,-666,-490,1641
54522,-667,-500,1623
54562,-673,-504,1608
54602,-669,-501,1609
54711,-676,-500,1621
54716,-668,-503,1609
54724,-677,-498,1625
54782,-662,-507,1625
54811,-662,-500,1596
54851,-656,-504,1628
54891,-672,-506,1628
54931,-670,-489,1619
54971,-662,-495,1638
55011,-662,-506,1621
55051,-678,-509,1600
55091,-675,-508,1629
55131,-660,-502,1612
55171,-665,-507,1620
55211,-682,-504,1620
55251,-678,-506,1620
55291,-660,-509,1606
55331,-680,-498,1622
55374,-674,-495,1611
55433,-662,-513,1608
55443,-664,-515,1633
55482,-662,-499,1637
55522,-672,-503,1615
55562,-674,-503,1607
55602,-667,-499,1593
55661,-674,-497,1631
55682,-670,-502,1618
55721,-668,-505,1620
55761,-677,-499,1616
55801,-663,-509,1630
55842,-677,-506,1616
55929,-655,-502,1595
55943,-666,-515,1621
55971,-671,-503,1610
56011,-659,-513,1598
56051,-651,-512,1618
56091,-671,-518,1636
56131,-663,-513,1629
56171,-674,-503,1615
56211,-672,-498,1638
56251,-670,-503,1623
56293,-679,-507,1621
56331,-658,-511,1617
56371,-668,-518,1615
56433,-671,-506,1637
56470,-672,-506,1610
56483,-669,-499,1613
56533,-660,-501,1618
56574,-666,-502,1620
56623,-657,-510,1619
56651,-670,-512,1611
56695,-672,-486,1625
56731,-654,-465,1640
56771,-655,-504,1628
56802,-652,-489,1687
56851,-693,-515,1575
56882,-666,-542,1608
56931,-679,-603,1628
56962,-650,-675,1556
57011,-661,-622,1560
57042,-647,-532,1693
57083,-654,-431,1620
57164,-738,-650,1576
57172,-756,-666,1537
57257,-687,-722,1547
57262,-647,-689,1590
57282,-650,-711,1535
57331,-674,-692,1556
57362,-657,-727,1536
57411,-675,-622,1602
57442,-683,-613,1609
57485,-618,-625,1622
57531,-652,-920,1435
57571,-599,-1056,1426
57602,-625,-855,1524
57642,-649,-948,1469
57682,-646,-1060,1375
57722,-669,-835,1495
