elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh
175891,lying,1,0,111.07,1825.8,123.4,1.35,2463.9,1,1
176281,lying,1,0,111.07,1832.7,127.2,1.34,2463.9,1,1
176683,lying,1,0,111.07,1821.2,144.4,1.35,2463.9,1,1
177082,lying,1,0,111.07,1830.7,172.6,1.46,2674.9,1,1
177474,lying,1,0,108.23,1832.5,200.3,1.46,2674.9,1,1
177883,lying,1,0,108.23,1828.7,206.4,1.46,2674.9,1,1
178308,lying,1,0,108.23,1816.5,208.4,1.47,2674.9,1,1
178673,lying,1,0,108.23,1814.5,206.4,1.47,2674.9,1,1
179097,lying,1,0,108.23,1819.8,196.8,1.47,2674.9,1,1
179473,lying,1,0,108.23,1793.0,146.0,1.38,2483.0,1,1
179900,lying,1,0,108.23,1776.3,97.1,1.15,2045.6,1,1
180273,lying,1,0,108.23,1775.4,81.6,1.09,1941.0,1,1
180696,lying,1,0,108.23,1790.6,88.6,1.16,2080.8,1,1
181073,lying,1,0,108.23,1790.2,82.6,1.16,2080.8,1,1
181473,lying,1,0,108.23,1798.2,78.4,1.16,2080.8,1,0
181874,lying,1,0,108.23,1793.6,75.7,1.16,2080.8,1,0
182386,lying,1,0,108.23,1805.7,58.6,1.15,2080.8,1,0
182810,lying,1,0,108.23,1808.7,59.1,1.15,2080.8,1,0
183173,lying,1,0,108.23,1798.2,46.3,1.07,1932.0,1,0
183619,lying,1,0,108.23,1800.1,45.9,1.07,1932.0,1,0
183975,lying,1,0,108.23,1800.6,52.5,1.09,1962.4,1,0
184400,lying,1,0,108.23,1803.3,53.0,1.09,1962.4,1,0
184774,lying,1,0,108.23,1797.7,51.8,1.09,1962.4,1,0
185206,lying,1,0,108.23,1794.8,51.8,1.09,1962.4,1,0
185633,lying,1,0,108.23,1800.2,56.3,1.09,1962.4,1,0
185976,lying,1,0,108.23,1796.6,56.7,1.09,1962.4,1,0
186409,lying,1,0,108.23,1798.2,54.0,1.08,1945.6,1,0
186775,lying,1,0,108.23,1799.5,50.8,1.08,1945.6,1,0
187193,lying,1,0,108.23,1801.5,48.7,1.08,1945.6,1,0
187575,lying,1,0,108.23,1807.2,46.0,1.08,1945.6,1,0
188003,lying,1,0,108.23,1800.9,41.1,1.08,1940.6,1,0
188376,lying,1,0,108.23,1802.2,41.1,1.08,1940.6,1,0
188811,lying,1,0,108.23,1805.0,48.6,1.08,1949.3,1,0
189176,lying,1,0,120.11,1809.6,51.8,1.08,1949.3,1,1
189584,lying,1,0,120.11,1821.4,58.6,1.09,1985.0,1,1
189977,lying,1,0,120.11,1825.0,67.5,1.12,2042.2,1,1
190409,lying,1,0,120.11,1833.0,70.5,1.11,2042.2,1,1
190779,lying,1,0,120.11,1822.0,80.9,1.12,2042.2,1,1
191178,lying,0,0,120.11,1823.0,95.5,1.12,2042.2,1,1
191618,lying,0,0,121.76,1831.4,101.6,1.12,2042.2,1,1
191978,lying,0,0,121.76,1814.4,119.4,1.15,2087.6,1,1
192420,lying,0,0,121.76,1819.4,139.4,1.19,2163.9,1,1
192777,lying,0,0,121.76,1836.5,147.9,1.18,2163.9,1,1
193210,lying,0,0,109.42,1858.2,143.2,1.16,2163.9,1,1
193578,lying,0,0,109.42,1862.9,133.0,1.16,2163.9,1,1
194003,lying,0,0,109.42,1870.5,128.8,1.16,2163.9,1,1
194378,lying,0,0,109.42,1899.3,103.6,1.14,2163.9,1,1
194813,lying,0,0,109.42,1909.2,75.3,1.06,2017.7,1,1
