elapsed_ms,ax,ay,az
175890,-1002,1172,976
175940,-1059,932,979
175959,-844,1180,874
175999,-1036,1428,1065
176039,-511,1619,852
176079,-1251,503,1331
176119,-1164,908,1197
176159,-1130,752,1131
176200,-1118,603,1115
176239,-1263,760,1172
176280,-1174,851,1115
176340,-1076,500,1439
176350,-1028,552,1378
176419,-1086,626,1301
176431,-1193,670,1248
176484,-892,878,1185
176551,-745,439,1256
176560,-692,606,1025
176601,-1182,739,1067
176650,-984,817,1126
176681,-1107,937,1177
176741,-1320,778,1283
176753,-1008,914,1178
176801,-1199,803,1139
176841,-874,2340,957
176881,-1138,819,945
176920,-1349,807,984
176961,-1311,1012,1043
177001,-1310,1126,1171
177031,-1230,913,1385
177081,-809,252,1185
177141,-829,462,1034
177150,-972,485,1024
177199,-869,667,1185
177260,-1137,1123,1133
177271,-1174,1226,1125
177321,-1570,1709,883
177370,-1043,926,1239
177421,-1236,804,1113
177462,-1265,977,970
177472,-641,1266,1158
177531,-901,1035,1021
177550,-1136,470,995
177601,-1019,988,1123
177631,-1100,1222,1217
177681,-1229,-848,978
177720,-1444,640,1208
177761,-1064,706,1186
177800,-950,247,1330
177831,-1213,547,1279
177881,-1241,488,1144
177933,-1153,33,1156
177953,-1198,406,1141
178022,-1240,513,1112
178031,-1216,513,1102
178090,-1311,350,1158
178143,-1305,535,1198
178150,-1345,505,1186
178201,-1284,457,1195
178252,-1319,474,1103
178303,-1238,510,1101
178311,-1192,441,1094
178373,-1251,465,1088
178391,-1287,592,1175
178441,-1278,406,1050
178481,-1361,491,1137
178520,-1311,331,1215
178551,-1396,520,1176
178601,-1302,242,1282
178641,-1451,535,1173
178671,-1511,330,1165
178713,-1301,483,1211
178773,-1240,561,1072
178791,-1224,651,1113
178864,-1082,750,938
178871,-1174,654,986
178914,-1267,648,1065
178973,-1272,518,1127
178992,-1321,520,1157
179042,-1302,578,1064
179093,-1310,577,1089
179153,-1186,531,977
179195,-1328,580,1050
179232,-1258,541,1084
179242,-1202,603,1186
179271,-1199,607,1141
179311,-1253,459,1164
179351,-1369,603,1208
179391,-1239,582,1128
179431,-1300,498,1173
179471,-1228,683,1146
179513,-1259,497,1040
179554,-1289,717,1125
179591,-1324,436,1113
179632,-1292,547,1078
179699,-1335,653,1244
179743,-1253,498,1216
179753,-1099,570,1125
179794,-1016,465,1118
179844,-1125,352,1012
179896,-1201,584,1086
179945,-1323,583,1107
179952,-1318,619,1121
179993,-1285,552,1125
180041,-1237,595,1118
180071,-1187,587,1137
180111,-1212,698,1152
180152,-1231,553,1095
180191,-1173,668,1080
180231,-1248,655,1089
180272,-1372,577,1078
180312,-1373,655,1067
180362,-1319,625,1112
180392,-1447,482,982
180431,-1166,724,1123
180472,-1428,966,1165
180536,-1158,628,1198
180583,-1444,409,1057
180592,-1458,548,987
180636,-1390,796,1040
180692,-1241,630,1148
180742,-1349,488,1070
180781,-1437,420,1041
180791,-1424,501,1111
180832,-1331,571,1023
180878,-1353,480,1031
180932,-1366,462,1083
180972,-1397,534,1089
180991,-1342,566,1146
181031,-1489,469,1065
181071,-1335,451,1079
181161,-1357,566,1068
181174,-1376,648,1101
181192,-1351,600,1089
181232,-1346,497,1066
181272,-1315,495,1080
181313,-1307,468,1050
181353,-1344,635,1079
181392,-1314,494,1087
181433,-1359,540,1090
181472,-1349,586,1049
181554,-1269,522,1080
181563,-1247,462,1086
181602,-1346,561,1092
181674,-1385,477,1026
181715,-1281,535,1050
181722,-1296,526,1049
181762,-1266,484,1054
181802,-1338,494,1022
181842,-1340,485,1045
181872,-1241,532,1105
181922,-1328,485,1111
181962,-1278,502,1183
181993,-1494,644,1042
182032,-1240,568,1128
182072,-1339,523,1089
182112,-1345,562,1060
182153,-1375,641,1041
182192,-1353,585,1029
182232,-1273,483,1078
182273,-1354,620,1061
182312,-1361,559,1078
182352,-1334,539,1102
182396,-1458,581,1078
182453,-1372,502,1121
182496,-1362,461,1138
182542,-1335,438,1104
182553,-1342,370,1120
182604,-1342,449,1084
182652,-1279,342,1105
182704,-1341,330,1079
182752,-1233,380,1118
182762,-1318,433,1116
182792,-1300,365,1141
182856,-1332,273,1155
182913,-1305,392,1146
182923,-1309,367,1155
182953,-1327,334,1164
182992,-1391,280,1183
183032,-1341,359,1188
183072,-1304,371,1226
183113,-1358,480,1200
183152,-1326,452,1265
183214,-1265,554,1244
183263,-1198,548,1230
183309,-1288,414,1243
183315,-1260,405,1253
183372,-1214,608,1229
183426,-1181,362,1300
183433,-1184,393,1307
183515,-1114,514,1315
183527,-1144,499,1259
183583,-1079,489,1246
183594,-1073,445,1268
183663,-1076,483,1272
183714,-1148,287,1365
183724,-1154,253,1411
183753,-1104,419,1428
183793,-1164,268,1557
183833,-1052,429,1458
183874,-1081,450,1429
183913,-1049,422,1360
183953,-995,406,1382
184018,-981,401,1440
184066,-919,637,1428
184074,-889,623,1397
184126,-828,608,1480
184223,-648,614,1371
184234,-721,716,1508
184284,-585,820,1492
184295,-553,853,1442
184354,-524,725,1517
184397,-598,641,1507
184405,-601,660,1504
184445,-690,793,1547
184493,-618,749,1507
184549,-586,704,1524
184552,-586,721,1543
184593,-505,710,1540
184633,-459,829,1481
184673,-419,797,1509
184713,-504,647,1532
184753,-434,849,1459
184814,-439,846,1532
184863,-563,787,1534
184875,-516,854,1538
184913,-488,869,1580
184953,-528,713,1519
184993,-499,797,1563
185033,-469,776,1544
185103,-512,539,1534
185146,-531,744,1518
185154,-516,783,1548
185206,-559,793,1533
185282,-562,1039,1546
185286,-560,1033,1532
185334,-592,737,1477
185436,-592,860,1488
185446,-595,827,1485
185454,-584,812,1490
185495,-594,905,1421
185514,-579,874,1417
185555,-605,934,1474
185595,-574,949,1424
185635,-607,804,1406
185678,-623,986,1417
185735,-692,1008,1365
185754,-642,1030,1391
185795,-670,736,1432
185835,-650,1067,1407
185875,-639,919,1427
185915,-686,1033,1389
185955,-730,908,1552
186017,-699,858,1475
186056,-696,763,1460
186104,-727,822,1443
186116,-704,546,1461
186175,-672,785,1464
186215,-687,817,1496
186257,-741,666,1505
186306,-659,724,1520
186316,-620,687,1526
186357,-695,698,1491
186406,-714,681,1547
186447,-733,436,1530
186504,-678,552,1524
186516,-713,587,1508
186554,-747,627,1512
186594,-636,637,1472
186634,-744,565,1533
186674,-734,524,1535
186714,-731,510,1534
186754,-735,405,1596
186821,-781,390,1599
186875,-751,407,1562
186884,-767,366,1587
186947,-746,425,1576
186955,-748,344,1566
186995,-781,370,1533
187046,-798,401,1583
187087,-763,412,1559
187146,-756,400,1562
187183,-774,410,1594
187194,-815,283,1554
187236,-802,297,1594
187314,-820,326,1636
187324,-812,212,1638
187354,-821,412,1573
187394,-821,265,1624
187434,-817,429,1616
187475,-763,316,1612
187515,-759,455,1604
187555,-743,206,1540
187617,-683,504,1521
187665,-651,638,1566
187676,-640,605,1576
187734,-580,542,1567
187755,-624,526,1581
187797,-669,516,1597
187846,-636,492,1589
187897,-625,541,1612
187949,-620,572,1587
187989,-638,532,1561
187997,-620,531,1580
188046,-622,581,1581
188084,-619,576,1661
188115,-643,569,1643
188155,-582,593,1649
