elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
1240089,lying,1,0,78.22,1850.4,23.4,1.05,1935.1,1
1240489,lying,1,0,78.22,1850.0,28.6,1.05,1935.1,1
1240889,lying,1,0,78.22,1847.9,25.3,1.04,1930.9,1
1241289,lying,1,0,78.22,1848.0,25.3,1.04,1930.9,1
1241689,lying,1,0,78.22,1849.8,28.5,1.04,1931.3,1
1242089,lying,1,0,78.22,1849.7,33.4,1.05,1938.2,1
1242490,lying,1,0,86.86,1850.9,35.3,1.05,1938.2,1
1242890,lying,1,0,86.86,1851.7,32.5,1.05,1938.2,1
1243290,lying,1,0,86.86,1853.4,32.7,1.05,1938.2,1
1243690,lying,1,0,86.86,1852.5,38.1,1.05,1938.2,1
1244090,lying,1,0,86.86,1851.7,36.9,1.05,1938.2,1
1244491,lying,1,0,86.86,1851.1,34.9,1.04,1929.5,1
1244891,lying,1,0,79.36,1852.3,31.2,1.04,1929.5,1
1245291,lying,1,0,79.36,1852.0,34.4,1.05,1943.7,1
1245691,lying,1,0,71.62,1854.1,36.6,1.05,1943.7,1
1246091,lying,1,0,71.62,1853.7,30.8,1.05,1943.7,1
1246491,lying,1,0,71.62,1853.5,31.2,1.05,1943.7,1
1246892,lying,1,0,83.17,1855.8,29.5,1.05,1943.7,1
1247292,lying,1,0,83.17,1855.3,29.6,1.05,1943.7,1
1247692,lying,1,0,83.17,1855.7,27.5,1.04,1932.2,1
1248092,lying,1,0,83.17,1852.9,26.5,1.04,1932.2,1
1248492,lying,1,0,95.97,1851.5,26.7,1.04,1932.2,1
1248892,lying,1,0,95.97,1852.9,26.1,1.04,1932.2,1
1249293,lying,1,0,83.67,1851.7,25.2,1.04,1932.2,1
1249693,lying,1,0,83.67,1851.9,26.0,1.04,1932.2,1
1250093,lying,1,0,81.78,1850.6,31.0,1.06,1961.4,1
1250493,lying,1,0,81.78,1849.9,33.0,1.06,1961.4,1
1250893,lying,1,0,81.78,1852.4,33.3,1.06,1961.4,1
1251293,lying,1,0,81.78,1850.8,32.3,1.06,1961.4,1
1251694,lying,1,0,81.78,1850.9,32.2,1.06,1961.4,1
1252094,lying,1,0,81.78,1850.5,32.2,1.06,1961.4,1
1252494,lying,1,0,81.78,1851.5,25.5,1.03,1913.3,1
1252894,lying,1,0,81.78,1867.6,49.1,1.12,2083.0,1
1253294,lying,1,0,81.78,1849.3,93.3,1.13,2083.0,1
1253694,lying,1,0,81.78,1852.5,120.2,1.24,2297.9,1
1254095,lying,1,0,89.07,1865.6,189.9,1.46,2718.8,1
1254495,lying,1,0,89.07,1866.2,214.1,1.46,2718.8,1
1254895,lying,0,0,89.07,1863.4,250.2,1.46,2718.8,1
1255295,lying,0,0,89.07,1861.2,264.5,1.46,2718.8,1
1255695,lying,0,0,93.37,1877.2,271.2,1.45,2718.8,1
1256095,lying,0,0,93.37,1876.6,261.4,1.45,2718.8,1
1256496,lying,0,0,93.37,1860.5,221.7,1.38,2566.6,1
1256896,lying,0,0,82.08,1862.4,205.4,1.38,2566.6,1
1257296,lying,0,0,82.08,1864.2,170.6,1.38,2566.6,1
1257696,lying,0,0,82.08,1850.8,147.7,1.39,2566.6,1
1258096,lying,0,0,82.08,1850.7,119.6,1.16,2142.9,1
1258487,lying,0,0,82.08,1863.9,167.7,1.34,2505.9,1
1258887,lying,0,0,82.08,1874.9,177.0,1.34,2505.9,1
1259287,lying,0,0,82.08,1874.3,173.4,1.34,2505.9,1
1259687,lying,0,0,74.46,1877.2,169.5,1.33,2505.9,1
1260087,lying,0,0,74.46,1884.0,169.3,1.33,2505.9,1
1260487,lying,0,0,74.68,1884.0,170.4,1.33,2505.9,1
1260887,lying,0,0,74.68,1870.7,128.1,1.22,2281.4,1
1261288,lying,0,0,74.68,1861.2,107.5,1.16,2159.6,1
1261688,lying,0,0,74.68,1859.6,110.0,1.16,2159.6,1
1262088,lying,0,0,74.68,1861.3,131.8,1.21,2256.3,1
1262488,lying,0,0,85.21,1861.8,151.1,1.21,2259.6,1
1262888,lying,0,0,85.21,1865.7,156.9,1.21,2259.6,1
1263288,lying,0,0,85.21,1868.6,157.1,1.21,2259.6,1
1263690,lying,0,0,85.21,1871.4,155.0,1.21,2259.6,1
1264090,lying,0,0,85.21,1871.1,147.6,1.21,2259.6,1
1264490,lying,0,0,85.21,1869.0,118.9,1.21,2259.6,1
1264891,lying,0,0,85.21,1861.9,79.8,1.15,2131.9,1
1265290,lying,0,0,85.21,1860.0,36.9,1.08,2015.5,1
1265690,lying,0,0,85.21,1855.3,10.3,1.01,1880.5,1
1266091,lying,0,0,85.21,1853.9,10.3,1.01,1880.5,1
1266491,lying,0,0,85.21,1858.4,26.1,1.10,2038.5,1
1266891,lying,0,0,85.21,1858.5,51.3,1.15,2138.8,1
1267291,lying,0,0,85.21,1864.5,59.2,1.15,2138.8,1
1267691,lying,0,0,85.21,1858.8,70.3,1.15,2138.8,1
1268091,lying,0,0,85.21,1858.8,71.3,1.15,2138.8,1
1268491,lying,0,0,85.21,1863.6,107.3,1.15,2138.8,1
1268892,lying,0,0,85.21,1896.1,180.1,1.35,2567.2,1
1269292,lying,0,0,85.21,1923.3,192.2,1.33,2567.2,1
1269692,lying,0,0,85.21,1920.3,198.5,1.34,2567.2,1
