elapsed_ms,ir
55716,200508
55725,200482
55734,200514
55744,200523
55754,200525
55764,200519
55774,200524
55786,200528
55795,200529
55805,200527
55815,200527
55825,200531
55835,200523
55845,200505
55855,200525
55865,200506
55875,200507
55885,200498
55895,200501
55905,200504
55915,200494
55925,200477
55935,200471
55945,200454
55955,200445
55965,200421
55975,200409
55985,200421
55995,200403
56005,200405
56015,200403
56025,200409
56035,200413
56045,200412
56055,200425
56065,200421
56075,200411
56085,200430
56095,200418
56105,200424
56117,200426
56127,200430
56136,200436
56145,200402
56155,200449
56165,200414
56175,200409
56185,200395
56195,200391
56205,200408
56216,200409
56225,200391
56236,200395
56246,200400
56290,200397
56292,200421
56296,200410
56305,200421
56315,200391
56325,200383
56335,200392
56345,200376
56355,200383
56366,200395
56375,200391
56385,200380
56395,200365
56405,200361
56415,200364
56425,200362
56435,200350
56445,200342
56455,200339
56465,200327
56475,200334
56485,200331
56495,200337
56505,200335
56517,200353
56525,200322
56536,200381
56545,200337
56555,200324
56565,200314
56576,200372
56585,200336
56595,200317
56605,200309
56615,200303
56625,200300
56635,200300
56645,200311
56655,200317
56665,200293
56675,200306
56685,200305
56695,200327
56705,200293
56715,200304
56725,200320
56735,200304
56745,200305
56755,200316
56765,200332
56775,200337
56785,200328
56795,200311
56826,200317
56845,200305
56849,200311
56855,200293
56873,200262
56878,200238
56887,200237
56896,200206
56906,200173
56917,200140
56926,200149
56937,200140
56947,200140
56956,200149
56966,200164
56976,200163
56986,200171
56996,200154
57007,200180
57016,200187
57026,200166
57036,200171
57067,200167
57076,200142
57087,200161
57096,200157
57106,200147
57116,200163
57126,200167
57136,200138
57146,200136
57156,200155
57167,200136
57177,200133
57186,200141
57196,200131
57207,200144
57216,200127
57226,200140
57236,200140
57246,200127
57256,200149
57266,200133
57276,200156
57286,200155
57296,200161
57306,200149
57317,200140
57328,200154
57336,200158
57346,200142
57356,200141
57366,200135
57376,200161
57407,200135
57438,200102
57467,200141
57476,200134
57486,200124
57496,200129
57506,200141
57516,200123
57526,200131
57536,200113
57546,200117
57556,200109
57566,200118
57576,200106
57586,200119
57596,200109
57606,200114
57616,200112
57626,200110
57636,200109
57646,200120
57656,200088
57666,200079
57676,200103
57686,200090
57696,200087
57706,200090
57717,200079
57728,200102
57736,200047
57746,200009
57757,200044
57766,199974
57776,199976
57786,199910
57796,199918
57806,199938
57816,199920
57826,199925
57836,199951
57846,199948
57856,199965
57866,199945
57876,199971
57886,199981
57896,199969
57906,199956
57917,199971
57927,199993
57937,199978
57947,199962
57956,199977
57966,199980
57977,199956
57995,199978
57998,199962
58007,199994
58039,199958
58047,199954
58079,199923
58087,199944
58097,199949
58107,199956
58118,199961
58128,199942
58138,199963
58148,199956
58158,199956
58167,199968
58177,199946
58187,199946
58197,199963
58207,199941
58217,199911
58227,199936
58237,199914
58247,199924
58257,199901
