elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
19795,lying,1,0,75.00,1838.5,22.6,1.02,1879.1,1
20194,lying,1,0,75.00,1839.0,22.8,1.02,1879.1,1
20595,lying,1,0,75.00,1839.7,23.7,1.02,1879.1,1
20995,lying,1,0,75.00,1843.4,15.8,1.03,1903.8,1
21395,lying,1,0,75.00,1842.4,15.2,1.03,1903.8,1
21795,lying,1,0,75.00,1842.8,15.2,1.03,1903.8,1
22196,lying,1,0,75.00,1842.6,14.8,1.03,1903.8,1
22596,lying,1,0,75.00,1842.6,15.4,1.03,1903.8,1
22996,lying,1,0,75.00,1842.9,14.6,1.03,1903.8,1
23397,lying,1,0,75.00,1841.3,12.6,1.01,1868.4,1
23797,lying,1,0,75.00,1842.6,12.2,1.01,1868.4,1
24197,lying,1,0,75.00,1842.3,12.4,1.01,1868.4,1
24598,lying,1,0,75.00,1841.8,13.8,1.02,1886.0,1
24998,lying,1,0,87.78,1841.1,13.6,1.02,1886.0,1
25398,lying,1,0,87.78,1840.3,12.6,1.02,1886.0,1
25798,lying,1,0,87.78,1841.5,11.6,1.02,1886.0,1
26199,lying,1,0,81.21,1841.0,11.5,1.02,1886.0,1
26599,lying,1,0,81.21,1841.0,12.3,1.02,1886.0,1
26999,lying,1,0,91.58,1841.4,10.1,1.01,1863.6,1
27400,lying,1,0,91.58,1842.7,9.5,1.01,1863.6,1
27800,lying,1,0,91.58,1843.5,10.2,1.01,1864.1,1
28200,lying,1,0,78.81,1843.1,10.1,1.01,1864.1,1
28601,lying,1,0,78.81,1843.4,11.8,1.02,1889.3,1
29001,lying,1,0,78.81,1843.9,10.8,1.02,1889.3,1
29401,lying,1,0,78.81,1843.7,11.3,1.02,1889.3,1
29801,lying,1,0,78.81,1843.6,14.2,1.02,1889.3,1
30202,lying,1,0,78.81,1841.2,16.2,1.03,1889.3,1
30602,lying,1,0,82.32,1841.1,16.1,1.03,1889.3,1
31002,lying,1,0,82.32,1841.3,15.1,1.03,1887.3,1
31393,lying,1,0,82.32,1841.5,15.2,1.02,1887.3,1
31793,lying,1,0,92.95,1840.7,17.7,1.03,1887.3,1
32193,lying,1,0,92.95,1840.4,16.2,1.02,1878.9,1
32594,lying,0,0,92.95,1842.0,15.5,1.02,1878.9,1
32994,lying,0,0,92.95,1841.8,15.7,1.02,1878.9,1
33394,lying,0,0,92.95,1842.4,15.8,1.02,1878.9,1
33794,lying,0,0,92.95,1843.1,15.7,1.02,1878.9,1
34195,lying,0,0,92.95,1844.5,12.7,1.01,1871.7,1
34595,lying,0,0,92.95,1843.9,12.3,1.01,1869.9,1
34995,lying,0,0,101.92,1843.9,10.9,1.01,1863.9,1
35396,lying,0,0,101.92,1844.0,10.9,1.01,1863.9,1
35796,lying,0,0,101.92,1842.8,10.2,1.01,1861.3,1
36196,lying,0,0,101.92,1840.8,10.2,1.01,1861.3,1
36596,lying,0,0,101.92,1839.8,9.9,1.01,1861.3,1
36997,lying,0,0,101.92,1839.0,8.8,1.01,1861.3,1
37397,lying,0,0,103.93,1838.6,8.0,1.01,1861.3,1
37797,lying,0,0,103.93,1838.8,8.0,1.01,1854.3,1
