elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
64200,lying,1,0,75.00,2154.6,382.2,1.45,3130.6,1
64599,lying,1,0,75.00,2091.6,400.7,1.50,3130.6,1
64999,lying,1,0,99.55,2016.1,386.9,1.55,3130.6,1
65399,lying,1,0,99.55,1940.3,323.9,1.61,3130.6,1
65799,lying,1,0,85.81,1928.7,282.9,1.62,3130.6,1
66206,lying,1,0,85.81,1909.1,231.6,1.53,2922.6,1
66606,lying,1,0,85.81,1909.0,219.9,1.53,2922.6,1
67007,lying,1,0,85.81,1887.8,140.0,1.31,2481.2,1
67407,lying,1,0,85.81,1880.7,114.2,1.32,2481.2,1
67807,lying,1,0,85.81,1875.9,105.1,1.32,2481.2,1
68208,lying,1,0,85.81,1873.2,98.1,1.32,2481.2,1
68608,lying,1,0,85.81,1859.4,34.2,1.04,1939.1,1
69008,lying,1,0,85.81,1861.1,30.8,1.04,1939.1,1
69408,lying,1,0,85.81,1861.1,30.1,1.04,1939.1,1
69809,lying,1,0,85.81,1865.4,28.8,1.04,1939.1,1
70209,lying,1,0,85.81,1862.6,31.9,1.05,1948.9,1
70609,lying,1,0,85.81,1861.0,31.6,1.05,1948.9,1
71000,lying,1,0,85.81,1860.4,31.2,1.05,1948.9,1
71400,lying,1,0,85.81,1856.6,33.0,1.05,1948.9,1
71800,lying,1,0,85.81,1858.1,32.1,1.05,1948.9,1
72201,lying,1,0,85.81,1855.6,28.0,1.05,1948.9,1
72601,lying,1,0,85.81,1855.1,23.0,1.02,1896.9,1
73001,lying,1,0,85.81,1857.0,24.0,1.02,1896.9,1
73401,lying,1,0,85.81,1857.0,25.1,1.03,1907.0,1
73802,lying,1,0,85.81,1862.6,21.4,1.03,1910.7,1
74202,lying,1,0,85.81,1863.3,21.0,1.03,1910.7,1
74602,lying,1,0,85.81,1864.3,20.9,1.02,1910.7,1
75003,lying,1,0,85.81,1865.8,21.5,1.02,1912.3,1
75403,lying,1,0,78.73,1862.7,26.6,1.03,1912.3,1
75803,lying,1,0,78.73,1860.6,26.4,1.03,1912.3,1
76203,lying,1,0,89.72,1857.4,25.2,1.03,1912.3,1
76604,lying,1,0,96.61,1856.7,30.8,1.03,1918.0,1
77004,lying,0,0,96.61,1856.8,31.2,1.03,1918.0,1
77404,lying,0,0,87.97,1864.5,55.6,1.15,2141.1,1
77805,lying,0,0,87.97,1860.4,67.8,1.15,2141.1,1
78205,lying,0,0,87.97,1863.0,68.2,1.15,2141.1,1
78605,lying,0,0,87.97,1859.5,103.1,1.15,2141.1,1
79006,lying,0,0,87.97,1861.4,102.6,1.15,2141.1,1
79406,lying,0,0,87.97,1860.5,102.7,1.15,2141.1,1
79806,lying,0,0,87.97,1853.6,90.8,1.12,2067.3,1
80206,lying,0,0,87.97,1867.0,91.8,1.11,2067.3,1
80607,lying,0,0,87.97,1876.6,99.3,1.10,2067.3,1
81007,lying,0,0,87.97,1892.6,69.5,1.10,2076.9,1
81407,lying,0,0,87.97,1880.0,77.8,1.10,2076.9,1
81808,lying,0,0,84.32,1872.4,85.7,1.11,2076.9,1
82208,lying,0,0,84.32,1875.3,93.8,1.11,2076.9,1
82608,lying,0,0,84.32,1885.4,105.8,1.17,2213.0,1
83009,lying,0,0,84.32,1889.8,127.0,1.18,2231.8,1
83409,lying,0,0,84.32,1871.4,139.9,1.19,2231.8,1
83809,lying,0,0,84.32,1891.4,140.4,1.18,2231.8,1
84200,lying,0,0,84.32,1896.6,138.7,1.18,2231.8,1
84600,lying,0,0,84.32,1883.3,174.0,1.24,2340.2,1
85000,lying,0,0,84.32,1899.1,193.3,1.23,2340.2,1
85413,lying,0,0,84.32,1908.7,217.4,1.23,2356.7,1
85801,lying,0,0,84.32,1886.8,225.7,1.25,2356.7,1
