elapsed_ms,ir
49942,115842
49952,115932
49962,115987
49972,116103
49982,116239
49992,116342
50002,116420
50012,116423
50022,116338
50032,116185
50042,116017
50052,115776
50062,115509
50072,115287
50082,115088
50092,114946
50102,114879
50112,114860
50122,114839
50132,114830
50142,114803
50152,114802
50162,114834
50172,114835
50182,114775
50192,114711
50202,114617
50212,114527
50222,114310
50232,114060
50242,113784
50252,113547
50262,113338
50272,113179
50282,113026
50292,112887
50302,112714
50312,112533
50322,112320
50332,112128
50342,111972
50352,111895
50362,111798
50372,111790
50382,111760
50392,111758
50402,111738
50412,111719
50422,111660
50432,111661
50442,111642
50482,111906
50515,112245
50522,112077
50532,111957
50543,111818
50552,111636
50563,111556
50572,111507
50583,111603
50592,111606
50603,111605
50612,111410
50623,111249
50632,111041
50643,110938
50652,110844
50663,110853
50672,110895
50683,110991
50692,111066
50703,111040
50712,110955
50723,110881
50732,110778
50743,110622
50753,110529
50763,110374
50773,110181
50782,109951
50793,109722
50802,109476
50813,109211
50822,109009
50833,108997
50843,109174
50853,109477
50863,109782
50873,110028
50883,110258
50893,110318
50903,110310
50913,110246
50923,110205
50933,110154
50943,110164
50953,110129
50963,110084
50973,109906
50983,109705
50993,109451
51003,109275
51013,109211
51047,109503
51083,109543
51124,109501
51133,109667
51143,109910
51154,110133
51163,110346
51173,110546
51183,110671
51193,110680
51203,110606
51213,110496
51223,110347
51233,110211
51243,110171
51253,110192
51263,110270
51273,110401
51283,110364
51293,110103
51303,109689
51313,109262
51323,109044
51333,108935
51343,109008
51353,109245
51363,109572
51373,109946
51383,110197
51393,110312
51403,110359
51413,110290
51423,110225
51433,110179
51443,110157
51453,110139
51463,110120
51473,110079
51483,109994
51493,109816
51503,109592
51513,109269
51523,108898
51533,108551
51543,108226
51554,108003
51563,107829
51573,107847
51583,108010
51593,108265
51603,108637
51613,108985
51654,109571
51693,109203
51727,108979
51733,109023
51743,109048
51753,109121
51764,109212
51773,109265
51783,109280
51793,109251
51804,109263
51813,109141
51823,109036
51833,108961
51844,108971
51853,108988
51863,109002
51873,108915
51884,108807
51893,108638
51903,108589
51913,108522
51924,108574
51934,108634
51943,108725
51953,108883
51964,108937
51973,109001
51983,108964
51994,108861
52004,108732
52013,108636
52023,108595
52034,108583
52043,108688
52053,108741
52064,108843
52073,108876
52083,108799
52094,108674
52104,108542
52113,108453
52123,108337
52133,108235
52184,108211
52193,108195
52203,108199
52213,108227
52224,108199
52234,108230
52244,108268
52254,108317
52264,108389
52274,108434
52284,108447
52294,108446
52303,108469
52314,108364
52323,108369
52333,108322
52343,108310
52355,108238
52364,108268
52373,108228
52383,108222
52393,108269
52427,108464
52434,108488
52465,108538
52470,108235
52473,108416
52485,108140
52524,107733
52533,107681
52543,107640
52553,107534
52564,107455
52573,107314
52583,107262
52593,107279
52604,107320
52613,107336
52623,107330
52633,107240
52644,107156
52653,107037
52663,106927
52673,106911
52684,106907
52693,106922
52703,106928
52713,106908
52724,106876
52733,106764
52743,106697
52754,106622
52764,106646
52773,106650
52783,106646
52793,106620
52804,106680
52813,106636
52823,106586
52834,106523
52843,106363
52853,106208
52863,106077
52873,106012
52883,106017
52894,106059
52903,106031
52913,105998
52923,105956
52934,105916
52943,105839
52953,105828
52963,105843
52974,105896
52983,105914
52993,105977
53003,105975
53014,105944
53023,105825
53056,105728
53066,105183
53104,105203
53115,105251
53156,105231
53166,105170
53204,105198
53213,105151
53223,105098
53233,105049
53243,105109
53254,105187
53263,105174
53274,105296
53283,105273
53293,105304
53303,105286
53313,105239
53323,105174
53334,105104
53343,104980
53353,104933
53363,104967
53374,105069
53383,105111
53393,105153
53403,105147
53414,105083
53423,104927
53433,104781
53443,104654
53454,104622
53463,104578
53473,104669
53483,104763
53494,104864
53503,104887
53513,104891
53523,104808
53534,104717
53543,104503
53576,104384
53584,104526
53593,104552
53604,104637
53613,104569
53624,104552
53633,104404
53644,104352
53653,104267
53664,104320
53700,104311
53704,104455
53734,104291
53744,104200
53777,104048
53809,103979
53814,103824
53825,103700
53853,103505
53863,103595
53874,103748
53883,103814
53894,103873
53903,103841
53913,103823
53924,103645
53933,103516
53944,103394
53984,103476
53994,103523
54003,103555
54014,103529
54025,103519
54033,103506
54044,103493
54055,103492
54064,103487
54074,103454
54084,103424
54095,103385
54104,103335
54114,103318
54124,103343
54135,103340
54144,103359
54154,103397
54164,103400
54175,103369
54184,103312
54194,103269
54204,103249
54215,103189
54224,103176
54234,103177
54244,103181
54255,103204
54264,103217
54274,103226
54284,103227
54295,103076
54304,102866
54315,102654
54324,102482
54334,102489
54345,102503
54415,102582
54425,102518
54458,102412
54494,102531
54505,102581
54514,102559
54524,102427
54535,102319
54545,102268
54555,102203
54565,102214
54574,102244
54585,102308
54594,102257
54604,102147
54615,101955
54624,101692
54634,101328
54644,100939
54694,99122
54705,98751
54715,98312
54725,97795
54734,97215
54745,96526
54756,95899
54764,95205
54774,94500
54784,93904
54794,93387
54805,92945
54814,92618
54824,92364
54834,92132
54844,91808
54854,91509
54864,91143
54875,90774
54926,88762
54934,88301
54944,87819
54954,87256
54964,86654
54975,86268
54984,85866
54994,85680
55004,85726
55015,86016
55024,86300
55034,86583
55044,86860
55055,87059
55064,87066
55074,87005
55084,86957
55095,86837
55104,86757
55114,86649
55124,86553
55134,86543
55145,86480
55186,85742
55195,85508
55204,85392
55214,85438
55224,85590
55234,85747
55244,85942
55254,86365
55265,86785
55274,87323
55284,87883
55294,88550
55305,89206
55314,90090
55324,91259
55335,92807
55344,94729
55354,96924
55364,99056
55374,101206
55416,107801
55425,109102
55455,113204
55496,120773
55505,122883
55514,125154
55524,127409
55535,129671
55544,131803
55585,139449
55594,141006
55604,142342
55615,143787
55624,145575
55634,147648
55644,149697
55654,151535
55664,153030
55674,154015
55684,154777
55694,155425
55705,156274
55714,157097
55724,157860
55735,158568
55744,159218
55754,159943
55764,160506
55774,160971
55785,161444
55794,161684
55804,161871
55815,162020
55824,162028
55834,162085
55844,161960
55854,161738
55865,161510
55874,161137
55884,160780
55895,160576
55904,160348
55914,160279
55924,160140
55934,160040
55944,159954
55979,159199
55986,158866
55994,158479
56035,157339
56046,157244
56075,156696
