elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
87650,lying,1,0,75.00,2119.1,8.3,1.01,2139.5
88049,lying,1,0,75.00,2119.2,9.0,1.01,2139.8
88450,lying,1,0,75.00,2119.3,7.9,1.01,2139.8
88849,lying,1,0,75.00,2118.8,7.8,1.01,2139.8
89256,lying,1,0,75.00,2119.2,8.0,1.01,2139.8
89656,lying,1,0,75.00,2118.5,8.9,1.01,2139.8
90057,lying,1,0,75.00,2119.5,10.0,1.01,2139.8
90459,lying,1,0,75.00,2119.7,9.4,1.01,2137.8
90856,lying,1,0,75.00,2119.9,10.3,1.01,2140.8
91257,lying,1,0,75.00,2120.3,10.2,1.01,2140.8
91656,lying,1,0,75.00,2120.0,9.6,1.01,2140.8
92056,lying,1,0,75.00,2121.3,8.2,1.01,2140.8
92457,lying,1,0,75.00,2119.6,7.3,1.01,2140.8
92857,lying,1,0,75.00,2120.0,7.9,1.01,2140.8
93257,lying,1,0,75.00,2120.3,7.3,1.01,2142.5
93657,lying,1,0,75.00,2121.1,7.8,1.01,2142.5
94057,lying,1,0,73.57,2120.9,9.3,1.01,2142.5
94458,lying,1,0,73.57,2122.5,10.7,1.01,2144.7
94857,lying,1,0,73.57,2121.3,14.8,1.01,2144.7
95258,lying,1,0,65.53,2123.4,19.0,1.02,2175.4
95657,lying,1,0,65.53,2123.7,31.1,1.03,2194.4
96058,lying,1,0,65.53,2131.7,44.5,1.06,2255.6
96458,lying,1,0,64.37,2130.7,46.6,1.06,2255.6
96857,lying,1,0,64.37,2148.5,70.0,1.09,2351.2
97258,lying,1,0,64.37,2151.1,70.2,1.09,2351.2
97658,lying,1,0,64.37,2142.6,79.8,1.10,2351.2
98058,lying,1,0,64.37,2127.3,92.1,1.11,2351.2
98458,lying,1,0,64.37,2113.0,87.4,1.11,2351.2
98860,lying,1,0,64.37,2110.7,86.6,1.11,2351.2
99258,lying,1,0,64.37,2088.9,56.5,1.06,2223.8
99658,lying,1,0,64.37,2084.4,52.5,1.07,2223.8
100058,lying,1,0,64.37,2089.8,44.6,1.04,2182.6
100459,lying,1,0,64.37,2101.3,18.4,1.01,2130.7
100858,lying,1,0,64.37,2104.6,13.5,1.01,2130.7
101259,lying,1,0,64.37,2106.6,13.6,1.01,2130.7
101659,lying,0,0,64.37,2107.0,13.5,1.01,2130.7
102059,lying,0,0,64.37,2108.3,10.2,1.01,2130.7
102449,lying,0,0,64.37,2107.9,10.6,1.01,2132.0
102860,lying,0,0,64.37,2109.4,9.9,1.01,2132.0
103250,lying,0,0,64.37,2109.0,10.4,1.01,2132.0
103649,lying,0,0,64.37,2108.0,10.3,1.01,2132.0
104050,lying,0,0,64.37,2107.7,10.0,1.01,2132.0
