elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
18961,lying,1,0,75.00,2005.1,6.7,1.01,2017.5
19361,lying,1,0,75.00,2006.1,6.8,1.01,2020.4
19762,lying,1,0,75.00,2006.4,7.2,1.01,2021.5
20161,lying,1,0,75.00,2007.5,7.5,1.01,2021.5
20561,lying,1,0,75.00,2007.4,7.4,1.01,2021.5
20961,lying,1,0,75.00,2007.1,7.7,1.01,2021.5
21361,lying,1,0,75.00,2007.1,7.7,1.01,2024.4
21761,lying,1,0,75.00,2006.5,7.7,1.01,2024.4
22161,lying,1,0,75.00,2006.6,7.3,1.01,2024.4
22568,lying,1,0,75.00,2005.9,6.8,1.01,2024.4
22968,lying,1,0,75.00,2005.0,7.4,1.01,2024.4
23368,lying,1,0,75.00,2004.8,6.8,1.01,2024.4
23768,lying,1,0,75.00,2004.4,6.4,1.01,2021.6
24168,lying,1,0,75.00,2004.2,5.9,1.01,2021.6
24567,lying,1,0,75.00,2003.7,6.1,1.01,2021.6
24967,lying,1,0,75.00,2003.9,6.2,1.01,2021.6
25367,lying,1,0,75.00,2004.8,5.3,1.01,2015.7
25768,lying,1,0,75.00,2004.9,5.6,1.01,2016.8
26167,lying,1,0,75.00,2004.2,11.5,1.01,2023.2
26567,lying,1,0,75.00,2004.1,11.9,1.01,2023.2
26967,lying,1,0,75.00,2004.0,12.4,1.01,2023.2
27367,lying,1,0,75.00,2003.0,12.9,1.01,2023.2
27766,lying,1,0,75.00,2001.9,12.8,1.01,2023.2
28166,lying,1,0,75.00,2001.0,13.0,1.01,2023.2
28566,lying,1,0,75.00,2001.8,8.6,1.01,2022.0
28967,lying,1,0,75.00,2001.9,8.5,1.01,2022.0
29366,lying,1,0,75.00,2001.8,7.7,1.01,2020.4
29766,lying,1,0,75.00,2002.9,7.0,1.01,2020.4
30166,lying,1,0,75.00,2003.0,7.5,1.01,2020.4
30566,lying,1,0,75.00,2004.7,10.0,1.03,2056.3
30965,lying,1,0,75.00,2004.6,9.9,1.03,2056.3
