elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,seconds_left
1265290,lying,0,0,85.21,1860.0,36.9,1.08,2015.5,1,64
1265690,lying,0,0,85.21,1855.3,10.3,1.01,1880.5,1,64
1266091,lying,0,0,85.21,1853.9,10.3,1.01,1880.5,1,63
1266491,lying,0,0,85.21,1858.4,26.1,1.1,2038.5,1,63
1266891,lying,0,0,85.21,1858.5,51.3,1.15,2138.8,1,62
1267291,lying,0,0,85.21,1864.5,59.2,1.15,2138.8,1,62
1267691,lying,0,0,85.21,1858.8,70.3,1.15,2138.8,1,62
1268091,lying,0,0,85.21,1858.8,71.3,1.15,2138.8,1,61
1268491,lying,0,0,85.21,1863.6,107.3,1.15,2138.8,1,61
1268892,lying,0,0,85.21,1896.1,180.1,1.35,2567.2,1,60
1269292,lying,0,0,85.21,1923.3,192.2,1.33,2567.2,1,60
1269692,lying,0,0,85.21,1920.3,198.5,1.34,2567.2,1,60
1270092,lying,0,0,85.21,1959.4,206.5,1.31,2567.2,1,59
1270492,lying,0,0,85.21,1929.0,238.8,1.33,2567.2,1,59
1270892,lying,0,0,85.21,1940.7,227.8,1.32,2567.2,1,58
1271293,lying,0,0,85.21,1927.7,190.3,1.22,2345.9,1,58
1271693,lying,0,0,85.21,1920.3,248.6,1.65,3170.9,1,58
1272093,lying,0,0,85.21,1922.7,306.5,1.65,3170.9,1,57
1272493,lying,0,0,84.46,1913.1,311.8,1.66,3170.9,1,57
1272893,lying,0,0,84.46,1974.1,374.5,1.87,3700.4,1,56
1273293,lying,0,0,84.46,2018.7,400.9,1.83,3700.4,1,56
1273694,lying,0,0,84.46,1993.7,415.6,1.86,3700.4,1,56
1274094,lying,0,0,84.46,1985.1,379.6,1.86,3700.4,1,55
1274593,lying,0,0,84.46,1964.7,340.6,1.88,3700.4,1,55
1274992,lying,0,0,84.46,1968.8,340.9,1.88,3700.4,1,54
1275393,lying,0,0,84.46,1931.4,253.4,1.39,2687.0,1,54
1275792,lying,0,0,84.46,1886.6,190.8,1.36,2567.8,1,54
1276193,lying,0,0,84.46,1915.7,183.7,1.34,2567.8,1,53
1276594,lying,0,0,83.06,1901.3,187.2,1.35,2567.8,1,53
1276993,lying,0,0,83.06,1909.9,183.9,1.34,2567.8,1,52
1277394,lying,0,0,83.06,1868.3,232.6,1.24,2321.6,1,52
1277793,lying,0,0,83.06,1962.3,295.1,1.33,2606.9,1,52
1278194,lying,0,0,83.06,1957.4,294.2,1.33,2606.9,1,51
1278593,lying,0,0,70.19,1955.9,288.8,1.33,2606.9,1,51
1278994,lying,0,0,70.19,1965.0,281.1,1.33,2606.9,1,50
1279395,lying,0,0,70.19,1988.0,270.3,1.31,2606.9,1,50
1279795,lying,0,0,70.19,2022.1,183.9,1.29,2606.9,1,50
1280195,lying,0,0,70.19,1943.1,82.8,1.12,2168.2,1,49
1280594,lying,0,0,70.19,1977.0,140.4,1.31,2594.5,1,49
1280994,lying,0,0,70.19,1968.6,184.7,1.32,2594.5,1,48
1281396,lying,0,0,70.19,1985.0,225.3,1.34,2657.9,1,48
1281796,lying,0,0,83.35,1997.9,235.9,1.33,2657.9,1,48
1282196,lying,0,0,83.35,1996.8,238.5,1.33,2657.9,1,47
1282596,lying,0,0,83.35,2017.5,234.2,1.32,2657.9,1,47
1282996,lying,0,0,83.35,1999.2,209.8,1.33,2657.9,1,46
1283396,lying,0,0,83.35,2086.6,858.4,4.01,8363.1,1,46
1283795,lying,0,0,83.35,2111.7,853.6,3.96,8363.1,1,46
1284187,lying,0,0,80.35,2137.5,857.6,3.91,8363.1,1,45
1284587,lying,0,0,80.35,2178.7,858.0,3.84,8363.1,1,45
1284986,lying,0,0,80.35,2201.4,855.7,3.8,8363.1,1,44
1285387,lying,0,0,80.35,2208.9,854.9,3.79,8363.1,1,44
1285787,lying,0,0,80.35,2112.6,216.5,1.24,2613.0,1,44
1286187,lying,0,0,80.35,2106.3,199.8,1.24,2613.0,1,43
1286588,lying,0,0,80.35,2079.0,163.5,1.25,2599.5,1,43
1286988,lying,0,0,80.35,2044.9,124.6,1.24,2544.6,1,42
1287388,lying,0,0,80.35,2020.8,109.6,1.26,2544.6,1,42
1287788,lying,0,0,80.35,2014.3,95.0,1.26,2544.6,1,42
1288188,lying,0,0,80.35,2032.8,75.7,1.25,2544.6,1,41
1288588,lying,0,0,80.35,2017.0,13.6,1.02,2060.9,1,41
1288989,lying,0,0,77.95,2016.0,9.8,1.01,2040.7,1,40
1289389,lying,0,0,77.95,2015.7,8.6,1.01,2030.4,1,40
1289819,lying,0,0,77.95,2015.3,9.2,1.01,2039.2,1,40
1290189,lying,0,0,77.95,2014.7,9.4,1.01,2039.2,1,39
1290589,lying,0,0,77.95,2013.9,10.2,1.01,2039.2,1,39
1290989,lying,0,0,77.95,2014.4,10.3,1.01,2039.2,1,38
1291390,lying,0,0,77.95,2013.2,9.8,1.01,2039.2,1,38
1291790,lying,0,0,77.95,2013.9,10.1,1.01,2039.2,1,38
1292190,lying,0,0,77.95,2014.1,10.3,1.01,2033.9,1,37
1292590,lying,0,0,77.95,2014.3,10.2,1.01,2033.9,1,37
1292990,lying,0,0,77.95,2015.3,10.0,1.01,2035.7,1,36
1293390,lying,0,0,77.95,2015.7,9.9,1.01,2035.7,1,36
1293790,lying,0,0,77.95,2016.8,10.1,1.01,2044.5,1,36
1294191,lying,0,0,77.95,2015.2,10.7,1.01,2044.5,1,35
1294591,lying,0,0,77.95,2014.7,10.3,1.01,2044.5,1,35
1294991,lying,0,0,77.95,2014.5,10.0,1.01,2044.5,1,34
1295391,lying,0,0,77.95,2013.5,9.0,1.02,2044.5,1,34
1295791,lying,0,0,77.95,2013.2,9.3,1.02,2044.5,1,34
1296191,lying,0,0,77.95,2013.5,8.5,1.01,2032.8,1,33
1296592,lying,0,0,77.95,2013.6,7.8,1.01,2032.8,1,33
1296992,lying,0,0,77.95,2013.7,7.4,1.01,2029.6,1,32
1297392,lying,0,0,77.95,2013.6,8.9,1.01,2037.9,1,32
1297792,lying,0,0,77.95,2013.2,9.8,1.01,2037.9,1,32
1298192,lying,0,0,77.95,2014.2,10.2,1.01,2038.1,1,31
1298592,lying,0,0,77.95,2013.3,10.8,1.01,2038.1,1,31
1298993,lying,0,0,77.95,2014.0,10.7,1.01,2038.1,1,30
1299393,lying,0,0,77.95,2014.2,11.1,1.01,2038.1,1,30
1299793,lying,0,0,77.95,2014.3,10.0,1.01,2038.1,1,30
1300193,lying,0,0,77.95,2015.3,9.4,1.01,2038.1,1,29
1300593,lying,0,0,77.95,2014.3,9.2,1.01,2036.9,1,29
1300993,lying,0,0,77.95,2014.6,8.5,1.01,2036.9,1,28
1301393,lying,0,0,77.95,2014.5,9.1,1.01,2036.9,1,28
1301794,lying,0,0,77.95,2014.1,8.8,1.01,2031.3,1,28
1302233,lying,0,0,77.95,2015.3,9.6,1.01,2036.7,1,27
1302594,lying,0,0,77.95,2014.4,9.5,1.01,2036.7,1,27
1302994,lying,0,0,77.95,2014.7,9.5,1.01,2041.4,1,26
1303394,lying,0,0,77.95,2014.9,10.1,1.01,2041.4,1,26
1303794,lying,0,0,77.95,2015.8,9.6,1.01,2041.4,1,26
1304195,lying,0,0,77.95,2016.6,9.4,1.01,2041.4,1,25
1304595,lying,0,0,77.95,2016.2,9.2,1.01,2041.4,1,25
1304995,lying,0,0,77.95,2016.7,9.2,1.01,2041.4,1,24
1305395,lying,0,0,77.95,2017.2,9.0,1.01,2037.3,1,24
1305795,lying,0,0,77.95,2017.0,8.5,1.01,2037.3,1,24
1306195,lying,0,0,77.95,2016.1,9.7,1.01,2037.3,1,23
1306595,lying,0,0,77.95,2016.1,9.6,1.01,2037.3,1,23
1306996,lying,0,0,77.95,2015.6,9.1,1.01,2036.3,1,22
1307395,lying,0,0,77.95,2015.5,8.9,1.01,2036.2,1,22
1307796,lying,0,0,77.95,2014.5,8.6,1.01,2036.2,1,22
1308196,lying,0,0,77.95,2014.3,8.4,1.01,2036.2,1,21
1308596,lying,0,0,77.95,2015.2,8.3,1.01,2041.4,1,21
1308996,lying,0,0,77.95,2014.3,8.7,1.01,2041.4,1,20
1309387,lying,0,0,77.95,2014.0,9.5,1.01,2041.4,1,20
1309787,lying,0,0,77.95,2014.3,10.2,1.01,2041.4,1,20
1310187,lying,0,0,85.54,2015.0,11.4,1.02,2048.5,1,19
1310587,lying,0,0,85.54,2015.4,11.5,1.02,2048.5,1,19
1310987,lying,0,0,82.9,2015.1,10.7,1.02,2048.5,1,18
1311387,lying,0,0,82.9,2014.9,10.9,1.02,2048.5,1,18
1311788,lying,0,0,85.04,2015.9,10.8,1.02,2048.5,1,18
1312188,lying,0,0,85.04,2016.5,10.4,1.02,2048.5,1,17
1312588,lying,0,0,81.67,2015.7,9.6,1.01,2034.2,1,17
1312988,lying,0,0,81.67,2016.0,9.9,1.01,2034.2,1,16
1313388,lying,0,0,81.67,2016.0,10.0,1.01,2034.2,1,16
1313788,lying,0,0,81.67,2016.6,9.4,1.01,2034.2,1,16
1314188,lying,0,0,81.67,2015.2,9.0,1.01,2033.6,1,15
1314613,lying,0,0,81.67,2015.0,9.1,1.01,2034.4,1,15
1314989,lying,0,0,81.67,2015.2,9.2,1.01,2034.4,1,14
1315389,lying,0,0,81.67,2015.3,9.4,1.01,2035.8,1,14
1315789,lying,0,0,81.67,2015.7,10.1,1.01,2039.8,1,14
1316189,lying,0,0,87.78,2014.8,11.3,1.01,2039.8,1,13
1316590,lying,0,0,87.78,2015.7,11.1,1.01,2039.8,1,13
1316990,lying,0,0,87.78,2014.8,11.3,1.01,2039.8,1,12
1317390,lying,0,0,87.78,2014.1,11.2,1.01,2039.8,1,12
1317790,lying,0,0,87.78,2012.7,10.9,1.01,2039.8,1,12
1318190,lying,0,0,87.78,2011.4,10.2,1.01,2035.4,1,11
1318590,lying,0,0,87.78,2012.4,8.9,1.01,2030.4,1,11
1318990,lying,0,0,87.78,2012.1,9.0,1.01,2029.0,1,10
1319391,lying,0,0,87.78,2012.2,8.5,1.01,2029.0,1,10
1319791,lying,0,0,87.78,2013.5,8.3,1.01,2029.0,1,10
1320191,lying,0,0,87.78,2014.4,7.7,1.01,2029.0,1,9
1320591,lying,0,0,87.78,2015.2,7.2,1.01,2029.0,1,9
1320991,lying,0,0,87.78,2014.9,7.2,1.01,2029.0,1,8
1321391,lying,0,0,87.78,2014.8,7.4,1.01,2032.4,1,8
1321792,lying,0,0,87.78,2015.3,7.9,1.01,2032.4,1,8
1322192,lying,0,0,87.78,2015.5,8.9,1.01,2035.7,1,7
1322592,lying,0,0,87.78,2015.5,8.7,1.01,2035.7,1,7
1322992,lying,0,0,87.78,2015.9,8.7,1.01,2035.7,1,6
1323392,lying,0,0,82.67,2016.6,8.9,1.01,2035.7,1,6
1323792,lying,0,0,82.67,2016.0,8.7,1.01,2035.7,1,6
1324193,lying,0,0,82.67,2015.7,8.3,1.01,2035.7,1,5
1324593,lying,0,0,82.67,2014.7,7.8,1.01,2032.5,1,5
1324993,lying,0,0,82.67,2014.4,7.9,1.01,2032.5,1,4
1325393,lying,0,0,82.67,2013.6,8.2,1.01,2031.5,1,4
1325793,lying,0,0,82.67,2013.2,8.1,1.01,2031.5,1,4
1326194,lying,0,0,82.67,2013.5,8.5,1.01,2037.6,1,3
1326594,lying,0,0,82.67,2013.6,8.3,1.01,2037.6,1,3
1327039,lying,0,0,82.67,2014.0,8.3,1.01,2037.6,1,2
1327394,lying,0,0,82.67,2014.8,8.4,1.01,2037.6,1,2
1327794,lying,0,0,82.67,2015.4,8.7,1.01,2038.5,1,2
1328194,lying,0,0,74.06,2015.1,9.1,1.01,2038.5,1,1
1328595,lying,0,0,74.06,2015.9,9.2,1.01,2038.5,1,1
1328995,lying,0,0,74.06,2015.3,9.9,1.01,2038.5,1,0
1329395,lying,0,0,74.06,2014.8,9.8,1.01,2038.5,1,0
1329795,lying,0,0,74.06,2013.6,10.1,1.01,2038.5,1,0
1330195,sitting,1,0,74.44,2013.7,9.8,1.01,2032.0,1,89
1330595,sitting,1,0,74.44,2014.4,9.9,1.01,2039.8,1,89
1330996,sitting,1,0,76.2,2013.3,35.9,1.07,2161.5,1,88
1331396,sitting,1,0,76.2,2013.0,38.0,1.07,2161.5,1,88
1331796,sitting,1,0,76.2,2020.5,98.4,1.26,2537.4,1,88
1332196,sitting,1,0,76.2,2015.1,120.5,1.26,2537.4,1,87
1332596,sitting,1,0,76.2,2016.5,121.6,1.26,2537.4,1,87
1332996,sitting,1,0,76.2,2015.7,121.6,1.26,2537.4,1,86
1333387,sitting,1,0,76.2,2014.9,116.7,1.26,2537.4,1,86
1333787,sitting,1,0,76.2,2015.9,115.9,1.26,2537.4,1,86
1334187,sitting,1,0,76.2,2008.8,71.6,1.14,2293.9,1,85
1334587,sitting,1,0,76.2,2015.2,19.1,1.05,2119.4,1,85
1334987,sitting,1,0,76.2,2013.2,9.5,1.01,2034.1,1,84
1335387,sitting,1,0,76.2,2013.2,8.8,1.01,2030.6,1,84
1335788,sitting,1,0,76.2,2014.4,8.0,1.01,2033.1,1,84
1336188,sitting,1,0,76.2,2013.6,8.1,1.01,2033.1,1,83
1336588,sitting,1,0,76.2,2013.7,8.9,1.01,2033.1,1,83
1336988,sitting,1,0,76.2,2013.4,8.7,1.01,2033.1,1,82
1337388,sitting,1,0,75.72,2013.8,8.5,1.01,2033.1,1,82
1337788,sitting,1,0,75.72,2014.3,8.8,1.01,2033.1,1,82
1338189,sitting,1,0,75.72,2014.3,8.6,1.01,2030.8,1,81
1338589,sitting,1,0,75.72,2014.5,8.8,1.01,2030.8,1,81
1338989,sitting,1,0,75.72,2014.7,8.3,1.01,2031.8,1,80
1339414,sitting,1,0,75.72,2014.4,8.4,1.01,2031.8,1,80
1339789,sitting,1,0,75.72,2014.3,8.2,1.01,2031.8,1,80
1340190,sitting,1,0,75.72,2013.8,7.4,1.01,2031.8,1,79
1340590,sitting,1,0,75.72,2014.2,8.4,1.01,2036.5,1,79
