elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact
713889,lying,1,0,74.52,1853.4,64.9,1.15,2126.6,1
714289,lying,1,0,74.52,1846.8,61.8,1.15,2126.6,1
714689,lying,1,0,74.52,1839.9,51.7,1.16,2126.6,1
715089,lying,1,0,74.52,1846.6,45.5,1.15,2126.6,1
715490,lying,1,0,74.52,1842.9,18.0,1.02,1888.7,1
715890,lying,1,0,74.52,1842.9,16.5,1.02,1888.7,1
716290,lying,1,0,74.52,1844.7,15.3,1.02,1888.7,1
716691,lying,1,0,74.52,1843.2,12.9,1.02,1875.3,1
717091,lying,1,0,74.52,1842.6,11.9,1.01,1865.8,1
717491,lying,1,0,74.52,1843.5,13.1,1.02,1883.1,1
717891,lying,1,0,74.52,1846.4,12.8,1.02,1883.1,1
718292,lying,1,0,74.52,1845.9,13.2,1.02,1883.1,1
718693,lying,1,0,74.52,1846.5,14.0,1.02,1883.1,1
719093,lying,1,0,74.52,1847.4,14.8,1.02,1883.1,1
719496,lying,1,0,74.52,1854.6,22.3,1.05,1947.6,1
719895,lying,1,0,74.52,1867.6,42.9,1.10,2056.7,1
720294,lying,1,0,74.52,1842.6,78.7,1.12,2056.7,1
720694,lying,1,0,74.52,1843.3,81.9,1.12,2056.7,1
721095,lying,1,0,74.52,1834.1,88.6,1.12,2056.7,1
721495,lying,1,0,74.52,1876.1,141.9,1.21,2277.9,1
721895,lying,1,0,74.52,1878.3,165.6,1.21,2277.9,1
722294,lying,1,0,74.52,1837.8,179.1,1.24,2277.9,1
722696,lying,1,0,74.52,1847.6,172.3,1.23,2277.9,1
723096,lying,1,0,74.52,1846.0,176.9,1.23,2277.9,1
723496,lying,1,0,74.52,1853.3,174.8,1.23,2277.9,1
723996,lying,1,0,74.52,1823.0,135.4,1.20,2190.7,1
724396,lying,1,0,74.52,1817.2,105.1,1.13,2054.0,1
724796,lying,1,0,74.52,1857.4,99.4,1.13,2107.1,1
725197,lying,1,0,71.41,1862.9,118.1,1.15,2142.3,1
725597,lying,1,0,71.41,1868.4,140.3,1.17,2181.5,1
725997,lying,1,0,71.41,1864.7,145.1,1.17,2181.5,1
726397,lying,1,0,71.41,1864.0,144.4,1.17,2181.5,1
