elapsed_ms,ax,ay,az
55710,-1652,887,-85
55750,-1651,891,-85
55790,-1681,872,-85
55830,-1661,885,-74
55870,-1661,852,-85
55910,-1676,882,-92
55950,-1697,874,-67
55990,-1668,877,-67
56030,-1675,874,-47
56070,-1656,885,-69
56110,-1667,870,-71
56150,-1674,879,-91
56190,-1654,888,-95
56231,-1680,880,-107
56269,-1663,908,-82
56311,-1667,886,-81
56361,-1676,887,-82
56390,-1680,892,-52
56430,-1681,877,-69
56470,-1669,876,-43
56510,-1678,889,-68
56550,-1677,878,-62
56590,-1666,886,-63
56630,-1660,869,-91
56670,-1659,888,-93
56710,-1670,888,-93
56750,-1663,874,-92
56790,-1631,880,-85
56852,-1676,888,-77
56881,-1679,881,-71
56910,-1649,876,-74
56950,-1682,871,-74
56991,-1671,884,-64
57031,-1671,893,-78
57081,-1670,871,-60
57110,-1667,869,-95
57151,-1672,894,-85
57191,-1669,872,-84
57230,-1678,882,-85
57271,-1667,889,-80
57310,-1668,880,-83
57350,-1661,892,-74
57410,-1653,887,-88
57441,-1666,887,-78
57473,-1652,889,-74
57510,-1656,864,-79
57550,-1675,883,-98
57590,-1667,896,-96
57630,-1675,876,-90
57670,-1648,860,-90
57710,-1670,868,-114
57751,-1673,868,-121
57790,-1671,879,-128
57830,-1685,858,-113
57870,-1675,857,-135
57910,-1704,860,-148
57951,-1679,842,-148
58002,-1693,857,-137
58030,-1684,838,-132
58073,-1680,848,-132
58111,-1691,863,-111
58151,-1712,927,-108
58191,-1738,930,-71
58231,-1731,895,-64
58271,-1693,930,-30
58311,-1671,912,11
58351,-1612,920,79
58391,-1488,885,168
58431,-1396,897,197
58471,-1506,1021,220
58511,-1482,1052,285
58551,-1357,1077,311
58612,-1250,1246,328
58651,-1260,1396,348
58684,-1276,1446,277
58711,-1364,1444,264
58751,-1346,1590,307
58791,-1377,1674,220
58831,-1452,1834,184
58871,-1428,1923,94
58911,-1160,1776,56
58951,-922,1673,17
58992,-636,1770,17
59031,-569,1896,-7
59074,-403,1755,73
59112,-380,1794,135
59152,-354,1885,202
59192,-286,1900,308
59253,-125,1851,360
59287,14,1828,360
59323,136,1838,340
59382,296,1916,214
59391,292,1917,216
59432,372,2175,139
59472,476,2179,230
59512,548,1819,329
59552,618,1610,397
59591,596,1444,406
59632,528,1684,478
59672,630,1828,555
59712,620,1747,619
59752,686,1755,659
59791,763,1902,676
59832,823,1770,665
59871,913,1569,706
59912,922,1609,681
59972,791,1259,558
59991,680,1302,368
60031,540,1480,382
60071,519,1648,287
60111,427,1943,395
60151,449,1277,443
60191,615,1588,538
60231,990,1902,464
60271,944,1797,439
60312,918,2021,522
60352,934,1411,607
60392,731,680,307
60432,796,1738,394
60488,476,1239,333
60533,871,1588,254
60581,1000,1477,225
60593,1105,1181,223
60632,1213,1081,196
60672,1115,1662,115
60712,1211,1643,35
60752,1133,1805,-438
60793,1271,2547,-585
60832,1206,2783,-357
60872,1081,2644,0
60912,1127,2491,367
60953,1063,2193,501
60992,987,2453,520
61032,785,1779,262
61072,1015,2078,181
61134,1272,1687,-258
61175,1394,1631,-471
61200,1366,1430,-660
61232,1322,2159,-621
61272,953,2062,-633
61312,971,1326,-622
61352,919,862,-607
61392,1193,1858,-459
61432,1079,1871,-576
61472,1074,1883,-605
61512,1094,1820,-596
61552,1091,1832,-545
61592,1115,1802,-460
61632,1250,1919,-404
61672,1202,1719,-422
61712,1371,1914,-542
61760,1219,1647,-319
61793,1014,1888,-295
61833,1134,1737,-204
61874,1192,1802,-252
61913,1103,1988,-296
61952,1103,2019,-215
61992,1050,1888,-212
62032,1001,2062,-136
62072,971,1826,-152
62112,1079,1721,-125
62154,1135,1577,-144
62192,1141,1817,-154
62232,1094,1678,-159
62272,1117,1622,-151
62312,1085,1749,-84
62352,1114,1699,-59
62405,1067,1715,18
62453,1081,1697,14
62490,1123,1862,63
62513,1099,1719,16
62553,1033,1889,1
62592,938,1843,-99
62632,866,1946,23
62672,907,1666,98
62713,967,1654,195
62752,1018,2001,229
62792,1109,1563,174
62833,1034,1681,137
62872,1161,1850,126
62913,1210,1558,171
62952,1213,1494,176
