elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
8154,lying,1,0,75.00,2145.9,54.2,1.04,2228.1
8553,lying,1,0,75.00,2137.5,64.8,1.05,2239.9
8953,lying,1,0,75.00,2130.3,66.6,1.05,2239.9
9353,lying,1,0,75.00,2148.1,81.0,1.11,2386.6
9753,lying,1,0,75.00,2151.7,81.5,1.11,2386.6
10153,lying,1,0,75.00,2131.7,91.6,1.12,2386.6
10553,lying,1,0,75.00,2129.7,88.0,1.12,2386.6
11073,lying,1,0,75.00,2128.7,80.8,1.12,2386.6
11352,lying,1,0,75.00,2131.0,80.4,1.12,2386.6
11753,lying,1,0,75.00,2104.1,64.1,1.06,2229.6
12152,lying,1,0,75.00,2112.7,76.4,1.08,2283.0
12552,lying,1,0,75.00,2110.2,80.8,1.08,2283.0
12953,lying,1,0,75.00,2135.8,112.9,1.14,2442.8
13353,lying,1,0,76.50,2139.1,120.6,1.14,2442.8
13753,lying,1,0,76.50,2133.3,124.5,1.15,2442.8
14153,lying,1,0,76.50,2152.4,124.1,1.13,2442.8
14553,lying,1,0,76.50,2151.5,131.7,1.15,2480.3
14956,lying,1,0,76.50,2166.5,121.6,1.14,2480.3
15353,lying,1,0,76.50,2136.9,112.2,1.16,2480.3
15753,lying,1,0,76.50,2142.1,109.0,1.16,2480.3
16153,lying,1,0,76.50,2142.0,105.0,1.16,2480.3
16552,lying,1,0,76.50,2135.3,98.2,1.16,2480.3
16952,lying,1,0,76.50,2117.2,76.1,1.09,2311.6
17353,lying,1,0,76.50,2119.7,72.3,1.09,2311.6
17753,lying,1,0,76.50,2125.2,55.0,1.09,2311.6
18153,lying,1,0,76.50,2119.2,46.7,1.04,2206.0
18553,lying,1,0,76.50,2124.9,42.1,1.04,2206.0
19034,lying,1,0,76.50,2123.5,38.9,1.04,2205.0
19354,lying,1,0,76.50,2124.7,39.6,1.04,2205.0
19753,lying,1,0,76.50,2123.0,48.3,1.05,2222.6
20153,lying,1,0,76.50,2126.8,50.6,1.06,2246.3
20553,lying,1,0,76.50,2124.5,54.7,1.06,2246.3
20953,lying,1,0,76.50,2119.6,62.4,1.06,2246.3
21353,lying,1,0,76.50,2122.4,62.0,1.06,2246.3
21753,lying,1,0,76.50,2126.5,65.8,1.06,2246.3
22153,lying,0,0,76.50,2132.8,62.0,1.05,2246.3
22553,lying,0,0,76.50,2122.6,62.1,1.06,2242.9
22953,lying,0,0,76.50,2123.1,53.6,1.06,2242.9
23354,lying,0,0,74.47,2126.6,44.6,1.05,2242.9
23755,lying,0,0,74.47,2127.0,46.3,1.05,2242.9
24153,lying,0,0,74.47,2114.5,51.2,1.05,2211.5
24553,lying,0,0,74.47,2107.2,47.3,1.05,2211.5
24953,lying,0,0,74.47,2117.9,50.6,1.04,2211.5
25352,lying,0,0,74.47,2123.0,52.2,1.04,2211.5
25754,lying,0,0,74.47,2124.7,52.3,1.04,2211.5
26154,lying,0,0,74.47,2128.3,50.4,1.04,2207.6
26554,lying,0,0,74.47,2136.5,34.3,1.03,2207.6
26954,lying,0,0,74.47,2139.3,29.8,1.03,2207.6
27354,lying,0,0,74.47,2135.9,25.8,1.03,2190.3
27755,lying,0,0,74.47,2137.4,32.6,1.06,2266.2
28154,lying,0,0,74.47,2136.4,36.3,1.06,2266.2
28554,lying,0,0,74.47,2134.0,35.1,1.06,2266.2
28954,lying,0,0,71.95,2135.4,35.6,1.06,2266.2
29354,lying,0,0,71.95,2138.1,37.6,1.06,2266.2
29754,lying,0,0,71.95,2137.1,37.5,1.06,2266.2
30154,lying,0,0,71.95,2135.2,31.3,1.04,2225.3
30742,lying,0,0,71.95,2136.6,35.3,1.07,2296.6
30954,lying,0,0,71.95,2136.6,35.2,1.07,2296.6
31353,lying,0,0,78.52,2138.3,38.7,1.07,2296.6
31755,lying,0,0,78.52,2134.4,38.4,1.08,2296.6
32156,lying,0,0,78.52,2135.8,38.9,1.08,2296.6
32553,lying,0,0,78.52,2134.4,37.3,1.08,2296.6
32954,lying,0,0,78.52,2134.3,28.6,1.05,2233.3
33354,lying,0,0,78.52,2133.2,28.7,1.05,2233.3
33754,lying,0,0,78.52,2132.8,23.2,1.03,2192.3
