elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh
47339,lying,1,0,82.50,1846.2,6.9,1.01,1860.5,1,0
47740,lying,1,0,82.50,1846.8,6.3,1.01,1860.5,1,0
48141,lying,1,0,82.50,1849.6,11.3,1.03,1898.3,1,0
48555,lying,1,0,82.50,1871.6,56.6,1.14,2126.9,1,0
48940,lying,1,0,82.50,1855.7,84.2,1.15,2126.9,1,0
49341,lying,1,0,82.50,1844.5,110.7,1.15,2126.9,1,0
49747,lying,1,0,82.50,1828.7,128.8,1.16,2126.9,1,0
50142,lying,1,0,82.50,1837.2,135.2,1.16,2126.9,1,0
50541,lying,1,0,82.50,1832.0,149.2,1.17,2151.2,1,0
50943,lying,1,0,82.50,1822.7,149.4,1.18,2151.2,1,0
51343,lying,1,0,82.50,1836.8,148.7,1.17,2151.2,1,0
51741,lying,1,0,82.50,1845.1,131.2,1.17,2151.2,1,0
52143,lying,1,0,82.50,1858.4,111.6,1.16,2151.2,1,0
52567,lying,1,0,82.50,1848.1,105.6,1.16,2151.2,1,0
52943,lying,1,0,82.50,1849.9,83.6,1.13,2093.8,1,0
53343,lying,1,0,82.50,1836.6,52.9,1.09,2010.9,1,0
53768,lying,1,0,82.50,1836.7,12.6,1.02,1865.5,1,0
54143,lying,1,0,82.50,1838.3,11.3,1.01,1865.5,1,0
54685,lying,1,0,82.50,1838.3,10.9,1.01,1865.5,1,0
55042,lying,1,0,82.50,1840.4,12.4,1.02,1878.0,1,0
55463,lying,1,0,82.50,1839.2,12.9,1.02,1878.0,1,0
55844,lying,1,0,82.50,1837.6,12.9,1.02,1878.0,1,0
56244,lying,1,0,82.50,1836.9,14.5,1.02,1878.0,1,0
56664,lying,1,0,82.50,1836.2,14.6,1.02,1878.0,1,0
57133,lying,1,0,82.50,1836.1,14.9,1.02,1878.0,1,0
57443,lying,1,0,82.50,1833.2,12.9,1.01,1854.0,1,0
57834,lying,1,0,82.50,1833.8,13.0,1.01,1856.6,1,0
58238,lying,1,0,82.50,1833.4,14.2,1.02,1862.2,1,0
58634,lying,1,0,82.50,1832.1,12.9,1.02,1862.2,1,0
59061,lying,1,0,82.50,1831.7,12.6,1.02,1862.2,1,0
59433,lying,1,0,82.50,1830.9,13.1,1.02,1862.2,1,0
59875,lying,1,0,82.50,1831.4,13.3,1.02,1862.2,1,0
60234,lying,1,0,82.50,1833.8,17.0,1.03,1887.5,1,0
60635,lying,1,0,82.50,1837.1,18.0,1.03,1887.5,1,0
61070,lying,1,0,82.50,1840.6,18.7,1.03,1887.5,1,0
61573,lying,1,0,82.50,1841.2,21.2,1.03,1887.5,1,0
61862,lying,1,0,82.50,1844.5,25.0,1.05,1939.3,1,0
62235,lying,1,0,82.50,1840.6,40.5,1.05,1939.3,1,0
62637,lying,0,0,82.50,1860.6,85.0,1.19,2216.5,1,0
63036,lying,0,0,89.57,1827.4,145.4,1.21,2216.5,1,1
63478,lying,0,0,89.57,1880.7,244.2,1.67,3136.4,1,1
63836,lying,0,0,89.57,1894.0,251.6,1.66,3136.4,1,1
64293,lying,0,0,89.57,1942.6,273.6,1.61,3136.4,1,1
64636,lying,0,0,89.57,1988.6,271.7,1.58,3136.4,1,1
65038,lying,0,0,89.57,2000.3,267.9,1.57,3136.4,1,1
65459,lying,0,0,89.57,2072.4,219.9,1.51,3136.4,1,1
65841,lying,0,0,89.57,2066.0,213.9,1.35,2786.0,1,1
66238,lying,0,0,89.57,2079.3,201.7,1.34,2786.0,1,1
66637,lying,0,0,89.57,2096.6,210.0,1.33,2786.0,1,1
67037,lying,0,0,89.57,2084.0,237.5,1.34,2786.0,1,0
67439,lying,0,0,89.57,1987.0,333.6,1.40,2786.0,1,0
67852,lying,0,0,89.57,1984.2,335.8,1.40,2786.0,1,0
68238,lying,0,0,89.57,1952.8,399.8,1.59,3105.3,1,0
68664,lying,0,0,89.57,1952.4,436.0,1.59,3105.3,1,0
69038,lying,0,0,76.55,1881.1,413.8,1.65,3105.3,1,1
69438,lying,0,0,76.55,1884.6,490.3,2.12,3989.5,1,1
69840,lying,0,0,76.55,1980.8,461.6,2.01,3989.5,1,1
70240,lying,0,0,76.55,1951.9,451.6,2.04,3989.5,1,1
70769,lying,0,0,76.55,1956.7,364.1,2.04,3989.5,1,1
71039,lying,0,0,76.55,1948.3,315.9,2.05,3989.5,1,1
71455,lying,0,0,76.55,1969.6,308.4,2.03,3989.5,1,1
71839,lying,0,0,76.55,1954.2,116.5,1.29,2523.9,1,1
72266,lying,0,0,76.55,1936.8,59.7,1.11,2140.8,1,1
72640,lying,0,0,76.55,1943.8,30.1,1.07,2083.9,1,1
73040,lying,0,0,76.55,1938.3,18.2,1.03,2001.5,1,0
73471,lying,0,0,76.55,1938.1,17.3,1.03,2001.5,1,0
73840,lying,0,0,76.55,1938.5,17.5,1.02,1983.4,1,0
74274,lying,0,0,76.55,1937.9,17.6,1.02,1983.4,1,0
74642,lying,0,0,76.55,1937.9,17.3,1.02,1983.4,1,0
75070,lying,0,0,76.55,1938.7,17.1,1.02,1983.4,1,0
75441,lying,0,0,76.55,1939.8,16.5,1.02,1983.4,1,0
75856,lying,0,0,76.55,1940.4,17.1,1.02,1983.4,1,0
76242,lying,0,0,76.55,1938.8,13.9,1.01,1967.3,1,0
76653,lying,0,0,76.55,1939.6,12.9,1.01,1967.3,1,0
77042,lying,0,0,76.55,1939.8,12.6,1.01,1967.3,1,0
77443,lying,0,0,76.55,1939.7,11.8,1.01,1963.9,1,0
77848,lying,0,0,76.55,1939.0,12.0,1.01,1963.9,1,0
78243,lying,0,0,76.55,1937.7,10.8,1.01,1963.4,1,0
78668,lying,0,0,76.55,1937.6,16.2,1.03,1990.8,1,0
79042,lying,0,0,76.55,1943.2,27.5,1.05,2048.2,1,0
