elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
17484,lying,1,0,75.00,2132.0,12.0,1.01,2162.5
17883,lying,1,0,75.00,2131.3,11.9,1.01,2162.5
18283,lying,1,0,75.00,2130.9,11.4,1.01,2162.5
18683,lying,1,0,75.00,2130.6,9.1,1.01,2158.2
19084,lying,1,0,75.00,2131.7,9.5,1.01,2158.2
19490,lying,1,0,75.00,2132.9,8.1,1.01,2149.0
19890,lying,1,0,75.00,2133.7,8.2,1.01,2149.0
20291,lying,1,0,75.00,2134.6,8.1,1.01,2156.4
20690,lying,1,0,75.00,2134.6,8.0,1.01,2156.4
21089,lying,1,0,75.00,2135.1,8.1,1.01,2156.4
21489,lying,1,0,75.00,2134.3,7.9,1.01,2156.4
21890,lying,1,0,75.00,2133.5,8.3,1.01,2156.4
22290,lying,1,0,75.00,2132.8,8.2,1.01,2156.4
22690,lying,1,0,75.00,2132.5,7.9,1.01,2147.6
23090,lying,1,0,75.00,2132.3,8.1,1.01,2147.6
23490,lying,1,0,75.00,2131.6,7.7,1.01,2146.9
23890,lying,1,0,75.00,2131.7,8.2,1.01,2147.1
24291,lying,1,0,75.00,2131.9,8.6,1.01,2148.1
24690,lying,1,0,75.00,2132.1,8.1,1.01,2148.1
25090,lying,1,0,75.00,2131.5,8.2,1.01,2148.1
25490,lying,1,0,75.00,2131.1,7.9,1.01,2148.1
25889,lying,1,0,75.00,2130.7,8.0,1.01,2148.1
26290,lying,1,0,75.00,2130.8,7.7,1.01,2148.1
26689,lying,1,0,75.00,2131.3,7.4,1.01,2149.2
27090,lying,1,0,75.00,2131.4,7.7,1.01,2149.2
27493,lying,1,0,75.00,2131.8,7.4,1.01,2149.2
27890,lying,1,0,75.00,2132.3,7.5,1.01,2149.2
28290,lying,1,0,75.00,2132.4,7.0,1.01,2149.2
28692,lying,1,0,75.00,2132.9,7.0,1.01,2149.2
29090,lying,1,0,75.00,2132.4,6.8,1.01,2153.0
29490,lying,1,0,75.00,2131.9,6.8,1.01,2153.0
29890,lying,1,0,75.00,2132.4,7.1,1.01,2153.0
30290,lying,1,0,75.00,2132.7,7.7,1.01,2153.0
30690,lying,1,0,75.00,2133.9,7.5,1.01,2153.0
31090,lying,1,0,75.00,2133.1,8.0,1.01,2153.0
31490,lying,0,0,75.00,2132.5,8.2,1.01,2149.2
31890,lying,0,0,75.00,2133.1,9.4,1.01,2161.6
32290,lying,0,0,75.00,2131.1,11.0,1.01,2161.6
32691,lying,0,0,75.00,2130.3,10.6,1.01,2161.6
33091,lying,0,0,75.00,2129.1,12.6,1.02,2164.9
33490,lying,0,0,75.00,2128.4,13.1,1.02,2164.9
33889,lying,0,0,75.00,2128.8,13.1,1.02,2164.9
34290,lying,0,0,75.00,2128.1,14.1,1.02,2164.9
