elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh
105498,lying,1,0,75.00,1999.4,9.5,1.01,2020.2,1,0
105897,lying,1,0,75.00,1998.5,9.4,1.01,2020.2,1,0
106299,lying,1,0,75.00,1999.8,9.3,1.01,2020.2,1,0
106789,lying,1,0,75.00,2000.3,10.6,1.02,2039.8,1,0
107099,lying,1,0,75.00,2000.1,11.1,1.02,2039.8,1,0
107501,lying,1,0,75.00,1999.8,10.9,1.02,2039.8,1,0
107897,lying,1,0,75.00,1999.3,10.7,1.02,2039.8,1,0
108343,lying,1,0,75.00,1999.6,10.6,1.02,2039.8,1,0
108697,lying,1,0,75.00,2000.0,10.7,1.02,2039.8,1,0
109098,lying,1,0,75.00,1999.9,9.3,1.01,2020.5,0,0
109497,lying,1,0,75.00,2000.8,8.1,1.01,2020.5,1,0
109899,lying,1,0,75.00,2001.2,8.0,1.01,2020.5,1,0
110334,lying,1,0,75.00,2000.8,7.5,1.01,2020.5,1,0
110698,lying,1,0,75.00,2001.0,7.4,1.01,2020.5,1,0
111120,lying,1,0,75.00,2001.0,7.2,1.01,2017.7,1,0
111499,lying,1,0,75.00,2000.1,7.4,1.01,2017.7,1,0
111899,lying,1,0,75.00,1999.7,7.1,1.01,2017.7,1,0
112299,lying,1,0,75.00,1999.4,7.0,1.01,2017.7,1,0
112709,lying,1,0,75.00,2000.0,7.1,1.01,2017.7,1,0
113098,lying,1,0,75.00,1999.9,7.1,1.01,2017.7,1,0
113499,lying,1,0,75.00,1998.8,6.6,1.01,2014.7,1,0
113898,lying,1,0,75.00,1999.7,6.3,1.01,2014.7,1,0
114298,lying,1,0,75.00,2000.0,6.4,1.01,2014.7,1,0
114697,lying,1,0,75.00,1999.9,6.2,1.01,2014.7,1,0
115099,lying,1,0,75.00,1999.7,5.9,1.01,2010.0,1,0
115562,lying,1,0,75.00,1999.2,6.0,1.01,2010.0,1,0
115898,lying,1,0,75.00,2000.0,6.0,1.01,2014.6,1,0
116330,lying,1,0,75.00,1999.2,6.6,1.01,2014.6,1,0
116699,lying,1,0,75.00,1998.6,6.9,1.01,2014.6,1,0
117153,lying,1,0,75.00,1999.2,7.1,1.01,2014.6,1,0
117498,lying,1,0,75.00,1999.5,7.9,1.01,2018.6,1,0
117903,lying,1,0,75.00,2000.3,8.5,1.01,2018.6,1,0
118297,lying,1,0,75.00,2000.1,9.2,1.01,2018.6,1,0
118698,lying,1,0,75.00,2000.3,8.6,1.01,2018.6,1,0
119098,lying,1,0,75.00,2000.9,8.3,1.01,2018.6,1,0
119499,lying,1,0,75.00,1999.3,9.1,1.01,2018.6,1,0
119944,lying,1,0,75.00,1999.4,8.6,1.01,2017.7,1,0
120313,lying,1,0,75.00,1998.8,8.2,1.01,2017.7,1,0
120698,lying,0,0,75.00,1998.5,6.9,1.01,2012.4,1,0
121165,lying,0,0,75.00,1997.7,7.0,1.01,2012.4,1,0
121498,lying,0,0,75.00,1996.6,7.6,1.01,2012.4,1,0
121929,lying,0,0,75.00,1997.8,7.2,1.01,2012.4,1,0
122297,lying,0,0,75.00,1997.5,6.7,1.01,2009.9,1,0
