elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,seconds_left
69378,lying,0,0,68.42,1877.6,94.8,1.12,2108.4,1,52
69778,lying,0,0,68.42,1875.9,102.9,1.12,2108.4,1,52
70177,lying,0,0,68.42,1895.7,110.1,1.11,2108.4,1,51
70579,lying,0,0,68.42,1908.7,113.6,1.13,2160.4,1,51
70978,lying,0,0,68.42,1893.8,139.9,1.14,2160.4,1,50
71378,lying,0,0,68.42,1931.6,157.0,1.18,2277.8,1,50
71778,lying,0,0,68.42,1951.8,177.2,1.17,2277.8,1,50
72178,lying,0,0,68.42,1937.6,185.9,1.18,2277.8,1,49
72579,lying,0,0,68.42,1916.4,187.7,1.19,2277.8,1,49
72979,lying,0,0,68.42,1912.0,187.7,1.19,2277.8,1,48
73379,lying,0,0,68.42,1933.6,159.9,1.18,2277.8,1,48
73779,lying,0,0,68.42,1906.4,142.1,1.17,2224.1,1,48
74180,lying,0,0,68.42,1880.3,103.7,1.14,2135.4,1,47
74580,lying,0,0,68.42,1900.7,88.0,1.13,2144.9,1,47
74980,lying,0,0,68.42,1908.1,89.4,1.12,2144.9,1,46
75381,lying,0,0,68.42,1892.0,73.6,1.13,2144.9,1,46
75780,lying,0,0,68.42,1893.1,70.8,1.13,2144.9,1,46
76182,lying,0,0,68.42,1886.5,65.4,1.14,2144.9,1,45
76581,lying,0,0,68.42,1880.9,65.5,1.14,2144.9,1,45
76981,lying,0,0,68.42,1884.4,50.8,1.13,2131.9,1,44
77381,lying,0,0,68.42,1875.3,26.5,1.04,1956.3,1,44
77782,lying,0,0,68.42,1871.9,25.3,1.05,1956.3,1,44
78183,lying,0,0,68.42,1873.6,46.3,1.11,2075.3,1,43
78582,lying,0,0,68.42,1849.5,112.6,1.12,2075.3,1,43
78983,lying,0,0,68.42,1846.9,118.7,1.12,2075.3,1,42
79373,lying,0,0,68.42,1841.9,119.7,1.13,2075.3,1,42
79773,lying,0,0,68.42,1835.7,119.8,1.13,2075.3,1,42
80174,lying,0,0,68.42,1819.5,124.8,1.14,2075.3,1,41
80573,lying,0,0,68.42,1799.5,134.4,1.16,2079.2,1,41
80973,lying,0,0,68.42,1845.2,126.0,1.16,2139.5,1,40
81374,lying,0,0,68.42,1830.3,146.4,1.17,2139.5,1,40
81774,lying,0,0,68.42,1823.7,147.0,1.17,2139.5,1,40
82175,lying,0,0,68.42,1825.3,153.5,1.17,2139.5,1,39
82574,lying,0,0,68.42,1838.2,153.8,1.16,2139.5,1,39
83075,lying,0,0,68.42,1848.0,135.0,1.16,2139.5,1,38
83475,lying,0,0,68.42,1819.4,109.6,1.13,2054.0,1,38
83875,lying,0,0,68.42,1832.9,72.7,1.11,2034.3,1,38
84274,lying,0,0,68.42,1834.1,64.3,1.11,2034.3,1,37
84676,lying,0,0,68.42,1832.0,46.9,1.11,2028.6,1,37
85076,lying,0,0,68.42,1830.9,22.9,1.02,1874.0,1,36
85476,lying,0,0,68.42,1851.3,53.2,1.12,2082.6,1,36
85876,lying,0,0,68.42,1842.0,79.9,1.13,2082.6,1,36
86276,lying,0,0,68.42,1820.8,100.5,1.14,2082.6,1,35
86677,lying,0,0,68.42,1822.1,106.5,1.14,2082.6,1,35
87077,lying,0,0,78.55,1822.9,109.0,1.14,2082.6,1,34
87477,lying,0,0,78.55,1825.9,110.4,1.14,2082.6,1,34
87878,lying,0,0,78.55,1807.6,95.4,1.13,2037.4,1,34
88278,lying,0,0,78.55,1821.5,106.1,1.2,2188.2,1,33
88678,lying,0,0,78.55,1835.6,99.0,1.19,2188.2,1,33
89078,lying,0,0,78.55,1818.0,110.3,1.2,2188.2,1,32
89479,lying,0,0,77.13,1834.1,170.4,1.37,2516.8,1,32
89878,lying,0,0,77.13,1827.0,175.0,1.38,2516.8,1,32
90278,lying,0,0,77.13,1814.8,177.4,1.39,2516.8,1,31
90679,lying,0,0,77.13,1804.0,164.9,1.4,2516.8,1,31
91080,lying,0,0,77.13,1814.3,161.2,1.39,2516.8,1,30
91480,lying,0,0,77.13,1813.2,157.5,1.39,2516.8,1,30
91880,lying,0,0,77.13,1810.3,96.0,1.14,2067.7,1,30
92280,lying,0,0,77.13,1798.3,105.1,1.13,2024.8,1,29
92681,lying,0,0,77.13,1763.1,165.9,1.15,2024.8,1,29
93081,lying,0,0,77.13,1818.9,227.5,1.33,2416.6,1,28
93481,lying,0,0,77.13,1813.4,230.1,1.33,2416.6,1,28
93881,lying,0,0,77.13,1842.5,231.7,1.31,2416.6,1,28
94282,lying,0,0,77.13,1849.6,246.6,1.32,2438.2,1,27
94682,lying,0,0,77.13,1913.2,293.8,1.51,2890.3,1,27
95082,lying,0,0,77.13,1995.7,304.6,1.45,2890.3,1,26
95482,lying,0,0,77.13,1970.6,297.4,1.47,2890.3,1,26
95873,lying,0,0,77.13,2002.8,289.1,1.44,2890.3,1,26
96273,lying,0,0,77.13,2016.1,282.0,1.43,2890.3,1,25
96673,lying,0,0,77.13,2013.6,271.0,1.44,2890.3,1,25
97073,lying,0,0,77.13,1990.5,228.5,1.42,2829.5,1,24
97474,lying,0,0,77.13,1983.5,116.5,1.17,2311.4,1,24
97873,lying,0,0,77.13,1976.6,93.0,1.14,2246.4,1,24
98273,lying,0,0,77.13,1967.8,85.3,1.14,2246.4,1,23
98674,lying,0,0,77.13,1972.3,89.1,1.14,2246.4,1,23
99074,lying,0,0,77.13,1988.1,103.8,1.14,2271.2,1,22
