elapsed_ms,ax,ay,az
105497,174,160,1994
105537,170,160,1976
105576,173,157,1974
105617,165,156,1993
105656,170,155,1987
105696,167,158,1996
105736,168,157,1981
105777,175,158,1989
105816,169,159,1979
105857,172,155,1988
105896,166,149,1986
105936,174,163,1989
105976,163,157,1986
106136,178,155,1993
106146,169,153,1985
106147,174,161,1998
106156,168,158,1988
106176,168,157,1981
106217,173,154,1997
106256,172,148,1967
106297,174,156,1998
106336,167,153,1982
106376,177,152,1982
106416,172,154,1993
106456,169,158,1992
106496,169,154,2001
106537,166,158,1976
106577,166,149,1974
106617,182,156,1993
106732,5,201,1983
106786,320,102,2012
106792,254,100,1983
106799,184,125,1965
106816,110,155,1973
106857,153,146,2006
106897,173,170,1972
106937,150,154,1995
106977,160,155,1992
107017,163,163,1975
107057,175,151,1977
107097,178,159,1996
107137,174,160,1983
107177,167,154,1992
107216,183,156,1997
107256,170,154,1984
107296,175,156,1983
107361,170,164,1979
107407,168,155,1983
107418,167,163,1979
107473,176,160,1973
107497,170,161,1992
107537,168,152,1995
107597,166,153,1988
107617,172,158,1981
107657,164,158,2002
107696,171,160,1969
107736,167,160,1983
107776,167,158,1975
107816,170,151,1997
107856,179,159,1973
107896,172,151,1982
107936,170,159,1998
107976,169,154,1991
108016,162,148,1986
108056,178,155,1986
108096,172,151,1995
108136,175,146,1987
108216,165,158,1983
108269,174,148,1978
108278,173,153,1984
108339,174,157,1978
108347,171,159,2007
108407,172,157,1982
108417,167,151,1984
108456,174,152,1999
108496,171,156,1982
108536,179,154,1981
108576,166,150,2000
108616,170,160,1989
108656,163,166,1986
108696,183,163,1997
108750,170,158,1985
108776,172,152,1980
108816,161,158,1999
108936,162,158,1995
108949,169,151,1981
108958,172,157,1995
109011,173,152,1979
109017,176,154,1991
109056,173,152,1998
109096,170,153,1992
109197,171,150,1985
109216,178,161,1992
109227,164,159,1982
109256,170,153,1991
109296,169,149,1988
109337,171,160,1991
109376,171,152,1997
109416,176,156,1998
109457,176,159,1985
109496,172,151,1975
109598,168,156,1986
109606,168,156,1977
109661,170,157,1989
109668,169,152,1979
109729,178,157,1990
109779,169,157,1989
109787,175,157,1999
109817,166,153,1983
109856,171,156,1996
109897,172,156,1987
109956,166,157,1984
109977,173,152,1982
110017,174,156,1990
110057,175,153,1981
110097,168,157,1969
110137,168,154,1985
110177,183,160,1989
110217,175,162,1980
110257,173,151,1983
110330,169,153,1977
110337,170,152,1981
110387,177,167,1988
110440,167,158,1986
110544,173,166,1992
110556,177,161,1983
110566,166,156,1995
110576,169,161,1989
110616,169,164,1992
110656,178,151,1977
110696,164,156,1989
110749,180,153,1987
110777,170,162,1990
110816,171,155,1985
110868,166,153,1999
110896,170,149,1978
110937,175,155,1993
110976,184,159,2003
111016,169,158,1984
111109,171,151,1986
111118,177,160,2001
111221,181,169,1991
111267,161,159,1987
111278,170,153,1995
111286,164,159,1983
111296,169,155,1990
111337,171,160,1987
111377,169,157,1985
111417,180,152,1977
111457,169,152,1970
111497,166,159,1974
111556,175,152,1986
111577,162,162,1980
111617,169,152,1981
111657,167,155,1986
111696,165,158,1998
111736,174,159,1982
111777,167,155,1983
111831,174,155,1989
111887,180,157,1986
111897,170,158,1985
112000,170,162,1990
112007,178,156,1993
112017,174,163,1988
112056,165,155,1976
112096,176,155,1980
112137,171,165,1984
112177,172,147,1990
112217,168,151,1996
112269,170,156,1977
112297,175,157,1983
112358,178,155,1986
112376,173,154,1994
112417,172,151,1972
112457,171,160,2001
112497,174,150,1979
112559,162,155,1986
112580,167,152,1984
112640,169,162,1986
112699,170,151,1981
112706,165,157,1992
112766,170,155,1985
112776,167,155,1986
112816,164,155,1988
112857,169,159,1982
112896,176,160,1989
112937,174,159,1980
112976,170,156,1980
113017,173,154,1988
113056,167,162,1996
113097,171,161,1992
113151,174,149,1986
113176,174,156,1988
113260,176,149,1968
113266,172,157,1987
113333,166,150,1990
113337,170,160,1978
113397,169,153,1985
113416,172,154,1978
113456,165,150,1989
113497,165,162,1992
113556,168,155,1997
113577,173,157,1989
113616,163,163,1983
113657,172,153,1996
113696,170,159,1991
113737,168,158,1983
113776,182,157,1990
113817,171,152,1983
113856,176,152,1995
113897,169,160,1987
113990,176,154,1985
114000,169,160,1990
114055,169,161,1986
114104,159,158,1991
114117,176,154,1996
114179,178,156,1990
114227,171,151,1994
114230,169,158,1978
114256,170,152,1985
114296,173,157,1978
114349,174,150,1988
114376,168,153,1985
114416,177,160,1981
114456,181,154,1984
114496,165,161,1980
114536,161,160,1987
114576,172,154,1979
114616,173,150,1996
114656,169,162,1985
114696,170,162,1988
114786,163,151,1990
114797,177,152,1977
114851,173,159,1989
114858,173,163,1994
114927,164,153,1977
114936,169,157,1980
114976,164,160,1987
115016,173,156,1992
115056,165,155,1983
115096,163,153,1981
115151,169,157,1981
115176,171,153,1978
115216,167,158,1981
115256,172,159,1985
115296,170,156,1990
115347,171,160,1976
115376,169,145,1989
115446,161,157,1979
115457,171,159,1991
115497,164,160,1987
115612,170,154,1991
115618,170,160,1991
115669,169,155,1988
115679,175,152,1984
115766,166,160,1987
115777,170,160,2001
115786,161,149,1983
115816,171,155,1998
115856,172,153,1976
115896,178,158,1989
115946,167,158,1984
115976,168,153,1986
116016,165,154,1996
116056,172,160,1982
116096,172,158,1974
116136,168,152,1966
116176,179,161,1994
116216,162,150,1993
116256,170,162,1982
116327,164,158,1992
116423,173,156,1985
116426,165,154,1977
116488,171,164,1987
116507,167,156,1975
116516,169,152,1972
116537,171,164,1986
116576,173,163,1997
116617,179,157,1990
116656,166,158,1984
116697,171,154,1983
116751,174,162,1987
116776,173,158,1988
116816,173,159,1990
116856,172,150,1996
116897,162,165,1992
116936,168,152,1976
116977,174,155,1994
