elapsed_ms,ax,ay,az
47338,-1764,475,277
47378,-1751,502,261
47418,-1766,481,278
47458,-1756,485,277
47498,-1765,490,291
47538,-1770,471,283
47578,-1754,480,291
47618,-1756,488,282
47658,-1760,471,268
47698,-1768,483,265
47738,-1767,487,288
47778,-1770,465,305
47818,-1776,492,268
47931,-1787,489,269
47938,-1766,506,261
47948,-1769,508,286
47978,-1758,419,302
48018,-1753,406,332
48058,-1757,490,333
48098,-1747,599,375
48139,-1802,462,378
48179,-1823,308,304
48218,-1931,449,458
48259,-2001,639,334
48299,-1956,387,257
48339,-1857,509,303
48379,-1809,625,301
48419,-1767,778,313
48471,-1727,727,390
48513,-1478,1310,489
48551,-1433,1190,554
48579,-1318,1250,590
48619,-1012,1545,492
48659,-1074,1267,572
48699,-853,1526,493
48739,-997,1168,655
48779,-976,1260,807
48819,-740,1128,756
48859,-862,1156,947
48899,-675,1235,860
48939,-756,1246,1009
48979,-736,1401,1049
49019,-671,1445,1031
49059,-700,1645,1134
49104,-524,1341,1083
49139,-459,1338,1116
49196,-303,1349,1055
49219,-288,1173,1054
49259,-317,1204,1179
49299,-259,1131,1159
49339,-253,1073,1080
49380,-261,1254,1049
49419,-232,1429,1044
49462,-248,1618,1036
49499,-228,1245,1065
49539,-222,1402,1049
49579,-200,1635,965
49619,-171,1566,895
49659,-263,1586,874
49699,-372,1519,866
49743,-392,1129,774
49802,-733,1629,932
49854,-807,1294,931
49861,-860,1373,1024
49899,-906,1491,1039
49939,-805,1350,1012
49979,-792,1401,1099
50019,-685,1243,1155
50059,-760,1440,1019
50099,-803,1331,938
50140,-923,1365,851
50179,-993,1725,816
50219,-978,1483,587
50259,-1098,1353,567
50299,-1211,941,505
50340,-1208,963,558
50401,-1071,1014,689
50462,-1317,758,999
50470,-1428,721,1081
50513,-1508,433,1051
50539,-1568,431,1016
50590,-1656,854,895
50619,-1560,1013,905
50659,-1404,1076,911
50699,-1481,951,883
50740,-1434,770,777
50781,-1462,823,695
50821,-1429,901,574
50861,-1385,755,538
50901,-1764,-322,801
50941,-1694,955,776
50990,-1587,634,624
51020,-1586,1001,570
51072,-1296,934,367
