elapsed_ms,ir
175876,53762
175887,53767
175937,53740
175946,53778
175957,53757
175966,53758
175977,53787
175986,53765
175996,53747
176006,53763
176017,53763
176026,53751
176036,53718
176046,53740
176057,53750
176066,53752
176076,53734
176086,53747
176097,53773
176106,53756
176116,53752
176127,53993
176136,54196
176147,54211
176156,54196
176166,54193
176177,54230
176186,54202
176197,54237
176206,54219
176217,54247
176226,54196
176236,54184
176246,54184
176257,53306
176266,52961
176276,52974
176287,52984
176296,52977
176337,54185
176347,54159
176358,54188
176366,54155
176376,54139
176418,54150
176426,54169
176437,54137
176488,54155
176496,54156
176548,54156
176557,54143
176597,54176
176607,54156
176647,54155
176658,54182
176667,54151
176678,54168
176688,54153
176697,54175
176740,54174
176748,54156
176758,54152
176767,54145
176778,54158
176787,54131
176798,54165
176807,54137
176818,54145
176827,54153
176838,54131
176847,54125
176858,54130
176867,54154
176878,54140
176887,54136
176898,54153
176907,54167
176917,54160
176927,54164
176938,54159
176947,54156
176958,54156
176967,54174
176978,54155
176987,54160
176998,54170
177008,54161
177017,54187
177028,54171
177037,54180
177047,54168
177058,54190
177067,54180
177078,54191
177088,54163
177098,54172
177140,54148
177147,54155
177157,54158
177167,54165
177208,54144
177218,54192
177259,54157
177267,54158
177279,54143
177320,54165
177328,54183
177367,54157
177378,54187
177420,54160
177427,54135
177467,54131
177479,54148
177488,54135
177530,54141
177540,54163
177548,54161
177558,54160
177568,54147
177579,54187
177588,54188
177598,54177
177608,54155
177618,54177
177628,54156
177638,54168
177648,54171
177658,54171
177668,54159
177678,54151
177688,54165
177698,54157
177709,54165
177718,54164
177729,54259
177738,54442
177748,54479
177758,54469
177768,54380
177778,54333
177789,54345
177798,54359
177809,54343
177818,54324
177828,54300
177838,54321
177848,54568
177859,54630
177868,54627
177878,54573
177888,54538
177898,54515
177938,54440
177948,54463
177959,54471
177968,54441
177978,54474
178019,54459
178028,54471
178038,54464
178087,54471
178099,54471
178140,54456
178148,54469
178198,54459
178237,54456
178239,54515
178251,54471
178259,54477
178309,54417
178319,54419
178329,54446
178381,54436
178390,54424
178398,54424
178408,54398
178419,54435
178428,54416
178438,54413
178448,54385
178459,54445
178468,54404
178478,54392
178488,54394
178499,54427
178509,54419
178518,54397
178529,54427
178538,54407
178548,54416
178558,54415
178568,54417
178579,54434
178588,54435
178598,54432
178608,54429
178618,54432
