elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,seconds_left
3446648,lying,1,0,74.24,1837.2,23.8,1.02,1882.3,1,89
3447050,lying,1,0,74.24,1838.2,21.0,1.02,1882.3,1,89
3447450,lying,1,0,74.24,1834.4,17.5,1.02,1879.6,1,89
3447850,lying,1,0,74.24,1837.1,15.3,1.02,1879.6,1,88
3448250,lying,1,0,74.24,1836.6,15.1,1.02,1879.6,1,88
3448641,lying,1,0,74.24,1836.0,13.9,1.02,1875.4,1,87
3449041,lying,1,0,74.24,1837.7,13.7,1.02,1875.4,1,87
3449441,lying,1,0,74.24,1838.6,12.3,1.02,1872.3,1,87
3449841,lying,1,0,82.05,1838.7,13.8,1.02,1872.3,1,86
3450241,lying,1,0,82.05,1839.1,14.0,1.02,1872.3,1,86
3450642,lying,1,0,82.05,1838.8,14.0,1.02,1872.3,1,85
3451042,lying,1,0,82.05,1840.2,13.3,1.02,1872.3,1,85
3451442,lying,1,0,72.24,1839.6,12.8,1.02,1869.9,1,85
3451842,lying,1,0,72.24,1846.3,28.3,1.06,1955.1,1,84
3452243,lying,1,0,72.24,1841.7,61.7,1.06,1955.1,1,84
3452643,lying,1,0,68.32,1824.0,79.1,1.07,1955.1,1,83
3453043,lying,1,0,68.32,1818.1,85.5,1.09,1977.0,1,83
3453443,lying,1,0,68.32,1864.4,223.2,1.79,3337.3,1,83
3453843,lying,1,0,68.32,1849.9,234.4,1.8,3337.3,1,82
3454244,lying,1,0,68.32,1843.0,236.5,1.81,3337.3,1,82
3454644,lying,1,0,68.32,1853.4,231.4,1.8,3337.3,1,81
3455044,lying,1,0,68.32,1870.9,223.9,1.78,3337.3,1,81
3455543,lying,1,0,68.32,1878.1,220.5,1.78,3337.3,1,81
3455944,lying,1,0,68.32,1843.3,104.6,1.15,2115.3,1,80
3456344,lying,1,0,68.32,1839.1,101.8,1.15,2115.3,1,80
3456744,lying,1,0,68.32,1852.8,121.6,1.21,2247.6,1,79
3457144,lying,1,0,68.32,1851.0,122.4,1.21,2247.6,1,79
3457543,lying,1,0,68.32,1865.7,129.4,1.2,2247.6,1,79
3457945,lying,1,0,68.32,1874.7,129.9,1.2,2247.6,1,78
3458344,lying,1,0,68.32,1883.9,126.8,1.19,2247.6,1,78
3458744,lying,1,0,68.32,1913.2,103.1,1.17,2247.6,1,77
3459145,lying,1,0,68.32,1913.3,84.0,1.12,2143.1,1,77
3459546,lying,1,0,68.32,1929.3,97.9,1.19,2291.4,1,77
3459946,lying,1,0,68.32,1921.1,101.7,1.19,2291.4,1,76
3460346,lying,1,0,64.47,1924.0,122.1,1.19,2291.4,1,76
3460746,lying,1,0,64.47,1908.1,126.7,1.2,2291.4,1,75
3461146,lying,1,0,64.47,1908.9,132.4,1.2,2291.4,1,75
3461547,lying,1,0,64.47,1893.1,132.9,1.21,2291.4,1,75
3461947,lying,0,0,64.16,1887.4,116.6,1.14,2147.3,1,74
3462347,lying,0,0,64.16,1896.4,111.4,1.13,2147.3,1,74
3462747,lying,0,0,64.16,1876.8,98.6,1.14,2147.3,1,73
3463148,lying,0,0,64.16,1869.4,90.7,1.15,2147.3,1,73
3463548,lying,0,0,64.16,1852.8,77.0,1.07,1977.4,1,73
3463948,lying,0,0,68.46,1859.6,77.7,1.07,1984.9,1,72
3464348,lying,0,0,68.46,1852.3,72.7,1.07,1984.9,1,72
3464747,lying,0,0,65.59,1829.6,65.9,1.08,1984.9,1,71
3465148,lying,0,0,65.59,1842.3,71.8,1.1,2033.7,1,71
3465549,lying,0,0,65.59,1844.9,72.8,1.1,2033.7,1,71
3465948,lying,0,0,65.59,1854.2,68.3,1.1,2033.7,1,70
3466349,lying,0,0,71.18,1843.0,68.7,1.1,2033.7,1,70
3466740,lying,0,0,71.18,1836.9,65.7,1.11,2033.7,1,69
3467140,lying,0,0,71.18,1846.3,62.0,1.1,2033.7,1,69
3467540,lying,0,0,71.18,1840.6,41.4,1.04,1910.4,1,69
3467940,lying,0,0,71.18,1838.8,37.9,1.04,1910.4,1,68
3468340,lying,0,0,71.18,1833.8,35.8,1.03,1895.7,1,68
3468741,lying,0,0,71.18,1839.8,19.4,1.03,1885.9,1,67
3469141,lying,0,0,71.18,1841.2,19.5,1.02,1885.9,1,67
