elapsed_ms,ir
48507,208183
48519,208186
48527,208205
48537,208212
48547,208204
48557,208203
48567,208239
48577,208259
48587,208242
48597,208258
48607,208255
48617,208244
48627,208237
48637,208260
48647,208263
48657,208250
48667,208266
48677,208228
48687,208243
48697,208249
48707,208263
48717,208280
48727,208286
48737,208287
48747,208309
48757,208293
48767,208322
48777,208321
48787,208311
48797,208302
48807,208287
48817,208290
48827,208285
48837,208217
48847,208230
48857,208254
48867,208281
48877,208268
48887,208297
48897,208300
48907,208314
48919,208492
48927,208483
48937,208353
48947,208372
48957,208386
48967,208374
48977,208407
48987,208416
48997,208368
49007,208384
49017,208355
49027,208390
49071,208455
49118,208454
49127,208472
49137,208455
49147,208469
49158,208438
49168,208446
49178,208434
49188,208427
49198,208404
49208,208405
49218,208420
49228,208396
49238,208396
49248,208406
49258,208396
49268,208399
49278,208384
49288,208377
49298,208381
49308,208394
49320,208449
49329,208382
49338,208397
49348,208344
49359,208402
49369,208403
49378,208382
49388,208378
49398,208369
49408,208401
49418,208388
49428,208404
49438,208388
49448,208377
49458,208387
49468,208383
49478,208407
49488,208379
49499,208388
49508,208389
49518,208405
49528,208416
49538,208419
49548,208416
49558,208413
49568,208417
49578,208428
49588,208434
49598,208438
49608,208423
49692,208481
49702,208398
49743,208541
49749,208493
49759,208482
49768,208543
49778,208514
49788,208483
49798,208490
49809,208463
49818,208457
49828,208449
49838,208445
49848,208429
49858,208416
49868,208421
49878,208418
49888,208391
49898,208352
49908,208337
49918,208342
49928,208325
49938,208329
49948,208316
49958,208286
49968,208289
49978,208298
49988,208274
49998,208275
50008,208247
50018,208277
50028,208333
50038,208259
50048,208297
50058,208271
50068,208219
50078,208209
50088,208290
50098,208285
50108,208286
50121,208269
50128,208357
50138,208271
50148,208256
50158,208241
50168,208220
50178,208208
50188,208216
50198,208208
50208,208197
50218,208227
50228,208244
50238,208170
50248,208273
50290,208259
