elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max
19137,lying,1,0,75.00,1997.7,7.0,1.01,2019.4
19537,lying,1,0,75.00,1998.3,6.8,1.01,2013.9
19937,lying,1,0,75.00,1999.4,6.7,1.01,2015.5
20337,lying,1,0,75.00,1999.1,6.6,1.01,2015.5
20737,lying,1,0,75.00,1999.2,6.4,1.01,2015.5
21137,lying,1,0,75.00,1998.7,6.3,1.01,2015.5
21537,lying,1,0,75.00,1999.5,6.0,1.01,2015.5
21937,lying,1,0,75.00,1998.8,5.7,1.01,2015.5
22627,lying,1,0,75.00,1998.2,5.4,1.01,2010.3
23017,lying,1,0,75.00,1997.8,6.0,1.01,2011.6
23417,lying,1,0,75.00,1997.2,5.9,1.01,2011.6
23817,lying,1,0,75.00,1997.3,6.2,1.01,2011.6
24217,lying,1,0,75.00,1997.0,6.3,1.01,2011.6
24617,lying,1,0,75.00,1997.1,7.1,1.01,2017.2
25017,lying,1,0,75.00,1997.4,7.5,1.01,2017.2
25417,lying,1,0,75.00,1997.3,7.3,1.01,2017.2
26153,lying,1,0,75.00,1998.1,7.5,1.01,2017.2
26497,lying,1,0,75.00,1998.9,7.5,1.01,2017.2
26897,lying,1,0,75.00,1998.3,7.2,1.01,2017.2
27297,lying,1,0,75.00,1997.6,7.3,1.01,2011.3
27697,lying,1,0,75.00,1997.5,7.1,1.01,2010.5
28097,lying,1,0,75.00,1997.5,7.0,1.01,2010.5
28497,lying,1,0,75.00,1996.7,6.7,1.01,2009.4
28897,lying,1,0,75.00,1995.8,6.3,1.01,2009.4
29677,lying,1,0,75.00,1996.4,6.9,1.01,2013.0
29977,lying,1,0,75.00,1996.6,6.6,1.01,2013.0
30377,lying,1,0,75.00,1996.6,7.0,1.01,2013.1
30777,lying,1,0,75.00,1996.8,7.2,1.01,2013.1
31177,lying,1,0,75.00,1997.1,7.9,1.01,2013.1
31577,lying,1,0,75.00,1997.3,8.1,1.01,2013.1
31977,lying,1,0,75.00,1997.8,8.0,1.01,2013.1
32377,lying,0,0,75.00,1998.9,8.6,1.01,2019.2
33202,lying,0,0,75.00,1998.7,8.5,1.01,2019.2
33457,lying,0,0,75.00,1998.0,8.5,1.01,2019.2
33857,lying,0,0,75.00,1997.6,8.2,1.01,2019.2
34257,lying,0,0,75.00,1997.2,9.2,1.01,2019.2
34657,lying,0,0,75.00,1995.6,25.2,1.06,2109.5
35057,lying,0,0,75.00,1994.2,26.0,1.06,2109.5
35457,lying,0,0,75.00,1993.9,28.6,1.06,2109.5
35857,lying,0,0,75.00,1995.4,31.3,1.06,2109.5
36829,lying,0,0,75.00,1996.2,31.4,1.06,2109.5
37057,lying,0,0,75.00,1996.5,31.1,1.06,2109.5
37457,lying,0,0,75.00,1997.0,20.3,1.03,2064.4
37857,lying,0,0,75.00,1998.0,19.3,1.03,2064.4
38257,lying,0,0,75.00,1998.5,15.8,1.03,2064.4
38657,lying,0,0,75.00,1997.1,10.4,1.01,2017.1
39057,lying,0,0,75.00,1996.9,10.6,1.01,2017.1
39457,lying,0,0,75.00,1997.1,10.7,1.01,2017.1
39899,lying,0,0,75.00,1996.9,10.6,1.01,2017.1
40537,lying,0,0,75.00,1997.2,9.3,1.01,2015.9
40937,lying,0,0,75.00,1997.1,8.1,1.01,2015.9
41337,lying,0,0,75.00,1997.4,7.7,1.01,2015.9
41737,lying,0,0,75.00,1997.2,7.1,1.01,2011.0
42137,lying,0,0,75.00,1997.0,7.2,1.01,2008.8
42537,lying,0,0,75.00,1997.6,7.2,1.01,2008.8
42937,lying,0,0,75.00,1997.0,7.2,1.01,2011.4
43337,lying,0,0,75.00,1997.8,7.4,1.01,2013.3
44057,lying,0,0,75.00,1998.2,9.5,1.02,2030.2
44457,lying,0,0,75.00,1998.2,9.7,1.02,2030.2
44857,lying,0,0,75.00,1998.6,9.4,1.02,2030.2
45257,lying,0,0,75.00,1998.9,9.2,1.02,2030.2
45657,lying,0,0,75.00,2000.2,9.1,1.01,2030.2
46057,lying,0,0,75.00,1999.2,9.6,1.02,2030.2
46457,lying,0,0,75.00,1999.1,8.4,1.01,2014.2
46857,lying,0,0,75.00,1999.1,8.4,1.01,2014.2
47577,lying,0,0,75.00,1999.2,11.6,1.02,2047.5
47977,lying,0,0,75.00,1999.3,14.6,1.02,2047.5
48377,lying,0,0,75.00,2000.3,21.2,1.04,2076.8
48777,lying,0,0,75.00,2000.9,23.5,1.04,2076.8
49177,lying,0,0,75.00,2000.6,24.8,1.04,2076.8
49577,lying,0,0,75.00,2001.3,24.9,1.04,2076.8
49977,lying,0,0,75.00,2000.5,25.0,1.04,2076.8
50377,lying,0,0,75.00,1999.5,29.2,1.04,2076.8
51097,lying,0,0,75.00,1997.8,35.2,1.04,2076.2
51497,lying,0,0,75.00,1999.1,39.9,1.08,2160.3
51897,lying,0,0,75.00,1999.1,38.9,1.08,2160.3
52297,lying,0,0,75.00,1998.9,40.1,1.08,2160.3
52697,lying,0,0,75.00,1999.1,40.0,1.08,2160.3
53097,lying,0,0,75.00,2000.3,36.1,1.08,2160.3
53497,lying,0,0,75.00,2000.1,26.4,1.08,2160.3
53897,lying,0,0,75.00,1998.3,15.4,1.02,2038.5
54697,lying,0,0,75.00,1998.7,15.2,1.02,2038.5
55100,lying,0,0,75.00,1998.2,11.4,1.02,2033.7
55497,lying,0,0,75.00,1998.7,8.6,1.01,2025.7
55897,lying,0,0,75.00,1998.3,8.3,1.01,2025.7
56297,lying,0,0,75.00,1998.3,6.6,1.01,2014.7
56697,lying,0,0,75.00,1998.4,6.3,1.01,2012.1
57097,lying,0,0,75.00,1998.2,6.4,1.01,2012.1
57497,lying,0,0,75.00,1997.7,6.4,1.01,2012.1
58236,lying,0,0,75.00,1997.0,6.3,1.01,2011.9
58617,lying,0,0,75.00,1996.5,6.0,1.01,2011.9
59017,lying,0,0,75.00,1995.7,6.0,1.01,2011.9
59417,lying,0,0,75.00,1996.1,6.7,1.01,2019.7
59817,lying,0,0,75.00,1996.6,6.6,1.01,2019.7
60217,lying,0,0,75.00,1996.8,6.1,1.01,2019.7
60617,lying,0,0,75.00,1997.4,7.1,1.01,2019.7
61017,lying,0,0,75.00,1997.3,10.7,1.02,2029.1
61788,lying,0,0,75.00,1998.0,10.6,1.02,2029.1
62137,lying,0,0,75.00,1996.8,11.4,1.02,2029.1
62537,lying,0,0,75.00,1996.7,12.7,1.02,2029.1
62937,lying,0,0,75.00,1996.6,12.9,1.02,2029.1
63337,lying,0,0,75.00,1997.0,13.4,1.02,2029.1
63737,lying,0,0,75.00,1997.1,10.6,1.01,2021.2
64137,lying,0,0,75.00,1996.8,10.5,1.01,2021.2
64537,lying,0,0,75.00,1997.3,9.8,1.01,2021.2
65345,lying,0,0,75.00,1997.3,8.5,1.01,2019.5
65657,lying,0,0,75.00,1997.4,8.2,1.01,2019.5
66057,lying,0,0,75.00,1997.1,6.6,1.01,2013.4
66457,lying,0,0,75.00,1996.9,6.6,1.01,2013.4
66857,lying,0,0,75.00,1997.5,6.8,1.01,2013.4
67257,lying,0,0,75.00,1997.7,6.5,1.01,2012.9
67657,lying,0,0,75.00,1997.6,6.3,1.01,2012.9
68057,lying,0,0,75.00,1997.5,6.5,1.01,2012.9
68843,lying,0,0,75.00,1997.2,7.3,1.01,2012.9
69097,lying,0,0,75.00,1997.7,7.6,1.01,2012.9
69497,lying,0,0,75.00,1997.1,7.9,1.01,2012.9
69897,lying,0,0,75.00,1997.2,7.8,1.01,2011.7
70297,lying,0,0,75.00,1997.5,7.7,1.01,2008.7
70697,lying,0,0,75.00,1998.1,7.6,1.01,2011.3
71097,lying,0,0,75.00,1998.1,7.2,1.01,2011.3
71497,lying,0,0,75.00,1997.5,7.3,1.01,2011.3
72420,lying,0,0,75.00,1997.5,7.4,1.01,2011.3
72657,lying,0,0,75.00,1998.1,7.2,1.01,2013.4
73057,lying,0,0,75.00,1996.8,7.8,1.01,2013.4
73457,lying,0,0,75.00,1997.0,7.9,1.01,2013.4
73857,lying,0,0,75.00,1996.7,7.5,1.01,2013.4
74257,lying,0,0,75.00,1997.0,7.3,1.01,2013.4
74659,lying,0,0,75.00,1997.6,7.1,1.01,2013.4
75057,lying,0,0,75.00,1996.7,7.0,1.01,2011.1
75490,lying,0,0,75.00,1997.4,6.0,1.01,2011.1
76097,lying,0,0,75.00,1997.0,6.1,1.01,2011.9
76497,lying,0,0,75.00,1997.3,7.1,1.01,2016.9
76897,lying,0,0,75.00,1997.6,6.9,1.01,2016.9
77297,lying,0,0,75.00,1996.8,7.0,1.01,2016.9
77697,lying,0,0,75.00,1997.3,7.5,1.01,2016.9
78097,lying,0,0,75.00,1997.3,7.9,1.01,2016.9
78497,lying,0,0,75.00,1996.9,8.2,1.01,2016.9
78897,lying,0,0,75.00,1997.2,7.5,1.01,2012.9
79537,lying,0,0,75.00,1997.0,7.8,1.01,2012.9
79937,lying,0,0,75.00,1997.4,7.6,1.01,2012.9
80337,lying,0,0,75.00,1996.7,6.9,1.01,2012.9
80737,lying,0,0,75.00,1997.2,6.5,1.01,2009.0
81137,lying,0,0,75.00,1999.0,14.5,1.04,2079.7
81538,lying,0,0,75.00,2000.1,19.1,1.04,2079.7
81937,lying,0,0,75.00,2001.2,19.1,1.04,2079.7
82337,lying,0,0,75.00,2001.5,19.4,1.04,2079.7
83017,lying,0,0,75.00,2003.5,19.7,1.04,2079.7
83417,lying,0,0,75.00,2004.2,19.7,1.04,2079.7
83817,lying,0,0,75.00,2003.9,15.1,1.04,2075.8
84217,lying,0,0,75.00,2003.0,9.1,1.01,2030.1
84617,lying,0,0,75.00,2002.4,9.2,1.01,2030.1
85017,lying,0,0,75.00,2003.2,9.3,1.01,2030.1
85417,lying,0,0,75.00,2002.8,8.4,1.01,2022.8
85817,lying,0,0,75.00,2003.0,8.6,1.01,2022.8
86497,lying,0,0,75.00,2002.9,8.7,1.01,2022.8
86897,lying,0,0,75.00,2003.3,8.3,1.01,2022.8
87297,lying,0,0,75.00,2003.2,8.1,1.01,2022.8
87697,lying,0,0,75.00,2002.3,7.9,1.01,2019.4
88097,lying,0,0,75.00,2001.8,7.6,1.01,2016.2
88497,lying,0,0,75.00,2000.4,7.7,1.01,2015.4
88897,lying,0,0,75.00,1999.2,9.2,1.01,2018.0
